"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_HISP","gap_completion_white_hispanic"
"455","Pacific Union College",2,16683,10227,0.4624,0.3134,0.322231833910035
"456","University of the Pacific",2,30355,18824,0.6832,0.7374,-0.0793325526932085
"461","Pepperdine University",2,26889,11639,0.8606,0.8205,0.0465953985591448
"462","Pitzer College",2,47001,25056,0.8152,0.9302,-0.141069676153091
"463","Platt College-San Diego",3,15678,4468,0.6667,0.6667,0
"464","Point Loma Nazarene University",2,19120,8862,0.7412,0.7302,0.014840798704803
"465","Pomona College",2,23238,37082,0.9368,1,-0.0674637062339881
"467","Westwood College-South Bay",3,14821,2884,0.4,0.2667,0.33325
"472","University of Redlands",2,17893,9254,0.7044,0.7647,-0.0856047700170358
"489","San Diego State University",1,6721,6812,0.7166,0.5931,0.172341613173319
"490","University of San Diego",2,27197,13897,0.7827,0.7841,-0.0017886802095312
"491","San Francisco Art Institute",2,24660,8735,0.3611,0.5,-0.384657989476599
"492","San Francisco Conservatory of Music",2,24730,24420,0.3125,1,-2.2
"493","San Francisco State University",1,6348,8331,0.5056,0.4548,0.100474683544304
"495","University of San Francisco",2,27427,15387,0.6856,0.7267,-0.0599474912485415
"499","William Jessup University",2,14330,6551,0.7045,0.5,0.2902767920511
"501","San Jose State University",1,7716,8357,0.5554,0.4526,0.185091825711199
"503","Santa Barbara Business College-Bakersfield",3,14534,3232,0.5094,0.5,0.0184530820573223
"504","Westwood College-Los Angeles",3,14396,3313,0.15,0.3955,-1.63666666666667
"505","Santa Barbara Business College-Santa Maria",3,13893,3244,0.7333,0.5,0.318150825037502
"507","Santa Clara University",2,22800,12668,0.828,0.8632,-0.042512077294686
"511","Scripps College",2,29662,28832,0.8662,0.9524,-0.0995151235280536
"520","Simpson University",2,13361,6351,0.5182,0.6667,-0.286568892319568
"525","Saint Mary's College of California",2,23532,12896,0.7362,0.6603,0.103096984515077
"527","Sonoma State University",1,6952,7664,0.5863,0.4698,0.198703735289101
"531","Vanguard University of Southern California",2,15711,6750,0.6277,0.4737,0.245340130635654
