"","X","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_AIAN","C150_4_NHPI","C150_4_2MOR","C150_4_NRA","C150_4_UNKN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","gap_completion_white_black","gap_completion_white_hisp","gap_completion_white_asian","gap_completion_white_aian","gap_completion_white_nhpi","gap_completion_white_2mor","gap_completion_white_nra","gap_completion_white_unkn","gap_earnings_high_low","gap_earnings_high_mid"
"3320",3320,"Pennsylvania State University-Penn State Lehigh Valley",1,6204,4578,0.5776,0.2,0.4,0.5238,NA,NA,NA,1,NA,19000,21500,21500,49600,50300,58300,0.3776,0.1776,0.0538,NA,NA,NA,-0.4224,NA,0.149228130360206,0.137221269296741
"3321",3321,"Pennsylvania State University-Penn State Altoona",1,5925,4372,0.6675,0.453,0.5091,0.6596,NA,NA,NA,0.8333,NA,19000,21500,21500,49600,50300,58300,0.2145,0.1584,0.00790000000000002,NA,NA,NA,-0.1658,NA,0.149228130360206,0.137221269296741
"3322",3322,"Pennsylvania State University-Penn State Beaver",1,7383,5448,0.4177,0.36,0.2857,0.4444,0,NA,NA,1,NA,19000,21500,21500,49600,50300,58300,0.0577,0.132,-0.0267,0.4177,NA,NA,-0.5823,NA,0.149228130360206,0.137221269296741
"3323",3323,"Pennsylvania State University-Penn State Berks",1,5949,4390,0.5758,0.5326,0.4259,0.6531,NA,NA,NA,0.6875,NA,19000,21500,21500,49600,50300,58300,0.0432,0.1499,-0.0773,NA,NA,NA,-0.1117,NA,0.149228130360206,0.137221269296741
"3324",3324,"Pennsylvania State University-Penn State Harrisburg",1,7843,5788,0.6624,0.6098,0.7083,0.7647,0,NA,NA,0.7368,NA,19000,21500,21500,49600,50300,58300,0.0526,-0.0459000000000001,-0.1023,0.6624,NA,NA,-0.0744,NA,0.149228130360206,0.137221269296741
"3325",3325,"Pennsylvania State University-Penn State Brandywine",1,5904,4357,0.4286,0.2439,0.8571,0.5833,0,NA,NA,1,NA,19000,21500,21500,49600,50300,58300,0.1847,-0.4285,-0.1547,0.4286,NA,NA,-0.5714,NA,0.149228130360206,0.137221269296741
"3326",3326,"Pennsylvania State University-Penn State DuBois",1,8788,6485,0.5354,0,0,0,NA,NA,NA,0,NA,19000,21500,21500,49600,50300,58300,0.5354,0.5354,0.5354,NA,NA,NA,0.5354,NA,0.149228130360206,0.137221269296741
"3327",3327,"Pennsylvania State University-Penn State Fayette- Eberly",1,7301,5388,0.4844,0.1111,0.5,1,NA,NA,NA,NA,NA,19000,21500,21500,49600,50300,58300,0.3733,-0.0156,-0.5156,NA,NA,NA,NA,NA,0.149228130360206,0.137221269296741
"3328",3328,"Pennsylvania State University-Penn State Hazleton",1,7691,5676,0.5668,0.4697,0.3571,0.5714,NA,NA,NA,0,NA,19000,21500,21500,49600,50300,58300,0.0971,0.2097,-0.00460000000000005,NA,NA,NA,0.5668,NA,0.149228130360206,0.137221269296741
"3329",3329,"Pennsylvania State University-Main Campus",1,24219,17872,0.8807,0.7026,0.7531,0.8313,0.6667,NA,NA,0.802,NA,19000,21500,21500,49600,50300,58300,0.1781,0.1276,0.0494,0.214,NA,NA,0.0787,NA,0.149228130360206,0.137221269296741
"3330",3330,"Pennsylvania State University-Penn State Greater Allegheny",1,8330,6147,0.3857,0.3333,0.5,0.6,NA,NA,NA,0.375,NA,19000,21500,21500,49600,50300,58300,0.0524,-0.1143,-0.2143,NA,NA,NA,0.0107,NA,0.149228130360206,0.137221269296741
"3331",3331,"Pennsylvania State University-Penn State Mont Alto",1,7356,5428,0.5424,0.4167,0.375,0.6667,NA,NA,NA,0.5,NA,19000,21500,21500,49600,50300,58300,0.1257,0.1674,-0.1243,NA,NA,NA,0.0424,NA,0.149228130360206,0.137221269296741
"3332",3332,"Pennsylvania State University-Penn State Abington",1,4820,3557,0.4868,0.303,0.34,0.5461,1,NA,NA,0.7,NA,19000,21500,21500,49600,50300,58300,0.1838,0.1468,-0.0593,-0.5132,NA,NA,-0.2132,NA,0.149228130360206,0.137221269296741
"3333",3333,"Pennsylvania State University-Penn State Schuylkill",1,7891,5823,0.4278,0.414,0.5263,0.3846,NA,NA,NA,NA,NA,19000,21500,21500,49600,50300,58300,0.0138,-0.0985,0.0432,NA,NA,NA,NA,NA,0.149228130360206,0.137221269296741
"3334",3334,"Pennsylvania State University-Penn State York",1,7587,5599,0.4721,0.4762,0.5556,0.45,NA,NA,NA,0,NA,19000,21500,21500,49600,50300,58300,-0.00409999999999999,-0.0835,0.0221,NA,NA,NA,0.4721,NA,0.149228130360206,0.137221269296741
"3335",3335,"Peirce College",2,15115,6402,0.375,0.4545,NA,0,NA,NA,NA,NA,NA,12717,23756,24729,40800,51100,68100,-0.0795,NA,0.375,NA,NA,NA,NA,NA,0.400881057268722,0.249632892804699
"3336",3336,"Penn Commercial Business/Technical School",3,5925,2947,NA,NA,NA,NA,NA,NA,NA,NA,NA,10481.5,11467,9171,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3337",3337,"Pennco Tech-Bristol",3,15192,4814,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,9500,7667,30700,37500,40400,NA,NA,NA,NA,NA,NA,NA,NA,0.24009900990099,0.0717821782178218
"3338",3338,"Pennsylvania Academy of Cosmetology Arts and Sciences-Du Bois",3,4507,808,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,NA,NA,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3339",3339,"Pennsylvania Academy of the Fine Arts",2,22261,11235,0.5882,0.3333,NA,0,NA,NA,NA,1,0.6,21750,27000,21500,NA,NA,NA,0.2549,NA,0.5882,NA,NA,NA,-0.4118,-0.0118,NA,NA
"3340",3340,"Pennsylvania Gunsmith School",3,6070,1467,NA,NA,NA,NA,NA,NA,NA,NA,NA,18606.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3341",3341,"Pennsylvania Institute of Taxidermy Inc",3,18196,12017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3342",3342,"Cortiva Institute-Pennsylvania School of Muscle Therapy",3,10318,3026,NA,NA,NA,NA,NA,NA,NA,NA,NA,6861,6861,6861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3343",3343,"Pennsylvania College of Art and Design",2,21378,8592,0.4487,0.5,0.2,0.5,0,NA,NA,NA,0,21000,26250,24000,NA,NA,NA,-0.0513,0.2487,-0.0513,0.4487,NA,NA,NA,0.4487,NA,NA
"3344",3344,"University of Pennsylvania",2,34560,49018,0.9476,0.9401,0.943,0.9885,0.875,NA,NA,0.9461,0.9615,14200,18583.5,21500,107100,109300,126600,0.00749999999999995,0.00460000000000005,-0.0409,0.0726,NA,NA,0.00149999999999995,-0.0139,0.154028436018957,0.136650868878357
"3345",3345,"Philadelphia University",2,19934,9712,0.6872,0.4667,0.6471,0.5484,1,0.5,0.9091,0.875,0.3077,24612,25800,24119,49800,50300,51200,0.2205,0.0401,0.1388,-0.3128,0.1872,-0.2219,-0.1878,0.3795,0.02734375,0.017578125
"3346",3346,"The University of the Arts",2,20918,12486,0.5942,0.5455,0.5357,0.6471,0.25,NA,NA,0.6522,0.6667,25223,27000,23250,28200,32700,35100,0.0487,0.0585,-0.0529000000000001,0.3442,NA,NA,-0.0580000000000001,-0.0725,0.196581196581197,0.0683760683760684
"3347",3347,"Cairn University-Langhorne",2,10727,7527,0.7008,0.4444,0.5,0.6667,NA,NA,0,1,NA,26000,22375,17000,33200,37100,38800,0.2564,0.2008,0.0341,NA,NA,0.7008,-0.2992,NA,0.144329896907216,0.0438144329896907
"3348",3348,"Philadelphia College of Osteopathic Medicine",2,34269,16511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3349",3349,"University of the Sciences",2,22797,12724,0.7385,0.4375,0.4545,0.7907,NA,NA,1,0.8889,0.5455,25000,27000,26887,89600,86900,94500,0.301,0.284,-0.0521999999999999,NA,NA,-0.2615,-0.1504,0.193,0.0518518518518519,0.0804232804232804
"3350",3350,"Community College of Philadelphia",1,2348,5306,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,4750,5250,31800,39600,45200,NA,NA,NA,NA,NA,NA,NA,NA,0.29646017699115,0.123893805309735
"3351",3351,"University of Pittsburgh-Bradford",1,11150,8486,0.5097,0.6071,0.6667,0.5833,0,0.5,NA,0,0.5714,21500,22998,21250,50200,52200,60300,-0.0973999999999999,-0.157,-0.0736,0.5097,0.00970000000000004,NA,0.5097,-0.0617,0.167495854063018,0.134328358208955
"3352",3352,"University of Pittsburgh-Greensburg",1,12012,5824,0.551,0.4815,0.25,0.125,0,NA,NA,1,0.5,21500,22998,21250,50200,52200,60300,0.0695000000000001,0.301,0.426,0.551,NA,NA,-0.449,0.051,0.167495854063018,0.134328358208955
"3353",3353,"University of Pittsburgh-Johnstown",1,12314,6320,0.5209,0.1053,0.7143,0.4615,0,NA,NA,0.8,0.25,21500,22998,21250,50200,52200,60300,0.4156,-0.1934,0.0594,0.5209,NA,NA,-0.2791,0.2709,0.167495854063018,0.134328358208955
"3354",3354,"University of Pittsburgh-Pittsburgh Campus",1,16728,16522,0.8278,0.7239,0.8667,0.8585,0.75,0.8,0.875,0.7143,0.8082,21500,22998,21250,50200,52200,60300,0.1039,-0.0389,-0.0307000000000001,0.0778,0.0277999999999999,-0.0472,0.1135,0.0196,0.167495854063018,0.134328358208955
"3355",3355,"University of Pittsburgh-Titusville",1,11855,9647,NA,NA,NA,NA,NA,NA,NA,NA,NA,21500,22998,21250,50200,52200,60300,NA,NA,NA,NA,NA,NA,NA,NA,0.167495854063018,0.134328358208955
"3356",3356,"Beaver Falls Beauty Academy",3,9750,5039,NA,NA,NA,NA,NA,NA,NA,NA,NA,7400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3357",3357,"Pittsburgh Institute of Aeronautics",2,17427,5206,NA,NA,NA,NA,NA,NA,NA,NA,NA,14750,12750,12000,53000,56700,59600,NA,NA,NA,NA,NA,NA,NA,NA,0.110738255033557,0.0486577181208054
"3358",3358,"Pittsburgh Institute of Mortuary Science Inc",2,7401,3766,NA,NA,NA,NA,NA,NA,NA,NA,NA,15750,17250.5,14750,29000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3359",3359,"Pittsburgh Technical Institute",3,9975,4130,NA,NA,NA,NA,NA,NA,NA,NA,NA,12667,14499,14499,32000,39000,41000,NA,NA,NA,NA,NA,NA,NA,NA,0.219512195121951,0.0487804878048781
"3360",3360,"Pittsburgh Theological Seminary",2,2195,21426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3361",3361,"Prism Career Institute-Upper Darby",3,32135,10909,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,NA,NA,27600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3362",3362,"Point Park University",2,17108,9247,0.5972,0.4231,0.625,1,1,NA,0.6154,0.6667,0,21125,23174,20705,36600,44600,41800,0.1741,-0.0278,-0.4028,-0.4028,NA,-0.0182,-0.0695,0.5972,0.124401913875598,-0.0669856459330144
"3363",3363,"Joseph F McCloskey School of Nursing at Schuylkill Health",2,5973,16267,NA,NA,NA,NA,NA,NA,NA,NA,NA,13250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3364",3364,"The Salon Professional Academy-Altoona",3,7580,7096,NA,NA,NA,NA,NA,NA,NA,NA,NA,8028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3365",3365,"Reading Area Community College",1,5654,6423,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,6575,5584.5,28700,36500,40900,NA,NA,NA,NA,NA,NA,NA,NA,0.298288508557457,0.107579462102689
"3366",3366,"Reading Hospital School of Health Sciences",2,7522,18097,NA,NA,NA,NA,NA,NA,NA,NA,NA,15278.5,13000,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3367",3367,"Reconstructionist Rabbinical College",2,17510,57712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3368",3368,"Reformed Presbyterian Theological Seminary",2,4663,4787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3369",3369,"The Restaurant School at Walnut Hill College",3,32258,22330,0.5172,0.6,0.6154,0.7059,NA,NA,NA,NA,0.5385,11500,12000,12000,34800,36900,38900,-0.0828,-0.0982,-0.1887,NA,NA,NA,NA,-0.0213,0.105398457583548,0.051413881748072
"3370",3370,"Brightwood Career Institute-Broomall",3,9819,2309,NA,NA,NA,NA,NA,NA,NA,NA,NA,8383,8890,5499.5,28300,39700,40600,NA,NA,NA,NA,NA,NA,NA,NA,0.302955665024631,0.0221674876847291
"3371",3371,"Robert Morris University",2,17137,7471,0.6545,0.3438,0.6,0.25,NA,0,NA,0.7895,0,22500,22932.5,21109,47700,47200,50600,0.3107,0.0545,0.4045,NA,0.6545,NA,-0.135,0.6545,0.0573122529644269,0.0671936758893281
"3372",3372,"Rosedale Technical College",2,7468,2633,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,12327,12000,31900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3373",3373,"Rosemont College",2,13889,5995,0.3871,0.4085,0.6,0.4286,NA,NA,NA,NA,0.5714,22000,26000,15250,NA,53100,NA,-0.0214,-0.2129,-0.0415,NA,NA,NA,NA,-0.1843,NA,NA
"3374",3374,"Saint Francis University",2,13596,8103,0.7493,0.5357,0.25,0.5,0,NA,NA,NA,0.75,23000,26312.5,26000,46000,50300,54800,0.2136,0.4993,0.2493,0.7493,NA,NA,NA,-0.000700000000000034,0.160583941605839,0.0821167883211679
"3375",3375,"Saint Joseph's University",2,23780,12184,0.7473,0.6222,0.6349,0.5926,NA,1,0.9091,0.4545,0.5,19061.5,20500,19500,50600,63700,67500,0.1251,0.1124,0.1547,NA,-0.2527,-0.1618,0.2928,0.2473,0.25037037037037,0.0562962962962963
"3376",3376,"Saint Vincent College",2,12522,7509,0.7435,0.6667,0.9091,1,1,0,NA,0.8333,0.5,25060,25500,23250,42400,45500,50400,0.0768000000000001,-0.1656,-0.2565,-0.2565,0.7435,NA,-0.0898,0.2435,0.158730158730159,0.0972222222222222
"3377",3377,"Saint Vincent Seminary",2,18763,11251,NA,NA,NA,NA,NA,NA,NA,NA,NA,25060,25500,23250,42400,45500,50400,NA,NA,NA,NA,NA,NA,NA,NA,0.158730158730159,0.0972222222222222
"3378",3378,"Schuylkill Technology Center",1,5861,17221,NA,NA,NA,NA,NA,NA,NA,NA,NA,7306,NA,NA,NA,32000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3379",3379,"University of Scranton",2,20816,11042,0.8104,0.9,0.8409,0.7391,0.3333,NA,1,0.5,0.6829,25500,27000,26781,59200,56100,63400,-0.0896,-0.0305,0.0713,0.4771,NA,-0.1896,0.3104,0.1275,0.0662460567823344,0.115141955835962
"3380",3380,"Seton Hill University",2,14235,9026,0.6487,0.5517,0.4545,0.6667,NA,NA,0.5,0.75,0.1852,22797,24125,19750,36500,38500,40400,0.0970000000000001,0.1942,-0.0179999999999999,NA,NA,0.1487,-0.1013,0.4635,0.0965346534653465,0.047029702970297
"3381",3381,"University of Pittsburgh Medical Center-Shadyside School of Nursing",2,10791,21294,NA,NA,NA,NA,NA,NA,NA,NA,NA,13200,12000,9400,NA,49900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3382",3382,"Sharon Regional Health System School of Nursing",2,7485,28135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3383",3383,"Laurel Technical Institute",3,10798,4322,NA,NA,NA,NA,NA,NA,NA,NA,NA,9180,11158,11097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3384",3384,"Shippensburg University of Pennsylvania",1,7315,8947,0.5843,0.363,0.4762,0.5238,0.3333,NA,1,0.5,0.3782,15500,19570,15000,42600,47700,49300,0.2213,0.1081,0.0605,0.251,NA,-0.4157,0.0843,0.2061,0.135902636916836,0.0324543610547667
"3385",3385,"Slippery Rock University of Pennsylvania",1,7048,7365,0.6949,0.557,0.4545,0.5,1,NA,1,0.3333,0.6214,17381,20500,19500,38000,39700,42100,0.1379,0.2404,0.1949,-0.3051,NA,-0.3051,0.3616,0.0735,0.0973871733966746,0.0570071258907363
"3386",3386,"Saint Charles Borromeo Seminary-Overbrook",2,14503,10753,0.8333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3387",3387,"South Hills Beauty Academy Inc",3,15252,7304,NA,NA,NA,NA,NA,NA,NA,NA,NA,4280,5004,3431,20400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3388",3388,"South Hills School of Business & Technology",3,9549,6877,NA,NA,NA,NA,NA,NA,NA,NA,NA,14501,14501,14501,29400,31500,35800,NA,NA,NA,NA,NA,NA,NA,NA,0.17877094972067,0.120111731843575
"3389",3389,"St Lukes Hospital School of Nursing",2,3921,11268,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,9834,13500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3390",3390,"Stroudsburg School of Cosmetology",3,10176,3708,NA,NA,NA,NA,NA,NA,NA,NA,NA,10419.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3391",3391,"Susquehanna University",2,18030,11187,0.7669,0.8462,0.6667,0.6667,1,NA,0.375,0.5,NA,21676.5,23000,21000,54900,51300,57500,-0.0792999999999999,0.1002,0.1002,-0.2331,NA,0.3919,0.2669,NA,0.0452173913043478,0.107826086956522
"3392",3392,"Swarthmore College",2,27431,32124,0.9571,0.8929,0.8889,0.9623,NA,NA,0.8235,0.9643,0.9737,10323,15390,19500,NA,NA,67900,0.0641999999999999,0.0681999999999999,-0.00520000000000009,NA,NA,0.1336,-0.0072000000000001,-0.0166000000000001,NA,NA
"3393",3393,"Thaddeus Stevens College of Technology",1,4996,6022,NA,NA,NA,NA,NA,NA,NA,NA,NA,3886,5500,10815,33400,42000,44300,NA,NA,NA,NA,NA,NA,NA,NA,0.246049661399549,0.0519187358916479
"3394",3394,"Talmudical Yeshiva of Philadelphia",2,12334,18435,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3395",3395,"Temple University",1,20016,12889,0.7188,0.6557,0.5979,0.6918,0.6667,0.6667,0.8286,0.5979,0.605,22051,23250,20500,56400,50900,51800,0.0631,0.1209,0.027,0.0521,0.0521,-0.1098,0.1209,0.1138,-0.0888030888030888,0.0173745173745174
"3396",3396,"Thiel College",2,13022,7217,0.5,0.1053,0.25,NA,NA,NA,0.1667,0.25,0.0566,21500,25000,23157.5,35300,37000,44700,0.3947,0.25,NA,NA,NA,0.3333,0.25,0.4434,0.210290827740492,0.172259507829978
"3397",3397,"Thomas Jefferson University",2,33544,41171,NA,NA,NA,NA,NA,NA,NA,NA,NA,12500,12500,12500,156900,95300,79500,NA,NA,NA,NA,NA,NA,NA,NA,-0.973584905660377,-0.19874213836478
"3398",3398,"Fortis Institute-Erie",3,10486,5219,NA,NA,NA,NA,NA,NA,NA,NA,NA,11092,11556,9500,23800,34200,33500,NA,NA,NA,NA,NA,NA,NA,NA,0.28955223880597,-0.0208955223880597
"3399",3399,"Triangle Tech Inc-Erie",3,11809,5962,NA,NA,NA,NA,NA,NA,NA,NA,NA,17880,NA,NA,29300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3400",3400,"Triangle Tech Inc-Pittsburgh",3,14181,4342,NA,NA,NA,NA,NA,NA,NA,NA,NA,17550,14643,12000,31900,41400,42100,NA,NA,NA,NA,NA,NA,NA,NA,0.242280285035629,0.0166270783847981
"3401",3401,"Triangle Tech Inc-Greensburg",3,15114,5615,NA,NA,NA,NA,NA,NA,NA,NA,NA,15943.5,12000,12000,40200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3402",3402,"Triangle Tech Inc-Dubois",3,14245,3825,NA,NA,NA,NA,NA,NA,NA,NA,NA,12100,12000,12000,34100,38800,42300,NA,NA,NA,NA,NA,NA,NA,NA,0.193853427895981,0.08274231678487
"3403",3403,"Trinity Episcopal School for Ministry",2,2976,8055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3404",3404,"Ursinus College",2,20530,13593,0.8298,0.6923,0.9,0.6875,1,NA,1,1,0.7326,27000,27000,26800,59900,50700,56700,0.1375,-0.0702,0.1423,-0.1702,NA,-0.1702,-0.1702,0.0972,-0.0564373897707231,0.105820105820106
"3405",3405,"University of Valley Forge",2,13406,6596,0.5049,0.5,0.3889,0.6,NA,NA,NA,NA,0.3333,17807,19702.5,20250,28800,35900,34900,0.00490000000000002,0.116,-0.0951,NA,NA,NA,NA,0.1716,0.174785100286533,-0.0286532951289398
"3406",3406,"Valley Forge Military College",2,28816,12616,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,9500,9000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3407",3407,"Venus Beauty Academy",3,9583,7356,NA,NA,NA,NA,NA,NA,NA,NA,NA,7030,6333,5500,24800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3408",3408,"Villanova University",2,26473,15732,0.9076,0.7778,0.8438,0.8936,1,1,1,0.85,0.5,23975,25750,23250,81000,77400,87300,0.1298,0.0638,0.014,-0.0924,-0.0924,-0.0924,0.0576,0.4076,0.0721649484536082,0.11340206185567
"3409",3409,"Washington Hospital School of Nursing",2,1824,9456,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,16000,15469.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3410",3410,"Washington Hospital School of Radiologic Technology",2,5206,2912,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,16000,15469.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3411",3411,"Washington & Jefferson College",2,21989,14530,0.7716,0.6923,0.75,0.75,0.3333,NA,1,NA,0.6905,27000,26000,25771,41100,60000,55700,0.0792999999999999,0.0216,0.0216,0.4383,NA,-0.2284,NA,0.0810999999999999,0.262118491921005,-0.0771992818671454
"3412",3412,"Waynesburg University",2,12351,8616,0.5897,0.4444,0.8,1,0,NA,NA,NA,0.4444,20000,23929,21250,41400,48800,56000,0.1453,-0.2103,-0.4103,0.5897,NA,NA,NA,0.1453,0.260714285714286,0.128571428571429
"3413",3413,"Welder Training and Testing Institute",3,8941,4079,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3414",3414,"West Chester University of Pennsylvania",1,8975,7851,0.6861,0.5373,0.6889,0.7209,0.8,NA,1,0.5,0,18398,19750,19500,44400,47800,50200,0.1488,-0.00279999999999991,-0.0347999999999999,-0.1139,NA,-0.3139,0.1861,0.6861,0.115537848605578,0.047808764940239
"3415",3415,"Western Pennsylvania Hospital School of Nursing",2,6826,12738,NA,NA,NA,NA,NA,NA,NA,NA,NA,12375,10744,10375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3416",3416,"Pittsburgh Career Institute",3,20014,8748,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,18500,15213.5,23100,30500,34800,NA,NA,NA,NA,NA,NA,NA,NA,0.336206896551724,0.123563218390805
"3417",3417,"Westminster College",2,12104,8960,0.7927,0.3,0,1,NA,NA,NA,NA,0.6222,23929,27000,23250,43500,46100,46500,0.4927,0.7927,-0.2073,NA,NA,NA,NA,0.1705,0.0645161290322581,0.00860215053763441
"3418",3418,"Westminster Theological Seminary",2,7467,5458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3419",3419,"Westmoreland County Community College",1,2870,4046,NA,NA,NA,NA,NA,NA,NA,NA,NA,4037,6389.5,5500,28300,35300,38700,NA,NA,NA,NA,NA,NA,NA,NA,0.268733850129199,0.0878552971576227
"3420",3420,"Widener University-Main Campus",2,21470,13704,0.5558,0.3421,0.5,0.3846,0.5,NA,NA,0.6,0.619,19350,20900,22440,56300,59000,60000,0.2137,0.0558,0.1712,0.0558,NA,NA,-0.0442,-0.0632,0.0616666666666667,0.0166666666666667
"3421",3421,"Wilkes University",2,15692,8243,0.5914,0.3214,0.4444,0.5,1,NA,NA,0.4444,0.4444,21250,19000,20500,50700,54700,63000,0.27,0.147,0.0914,-0.4086,NA,NA,0.147,0.147,0.195238095238095,0.131746031746032
"3422",3422,"Wilson College",2,11662,10092,0.4521,0.3333,0,NA,NA,0,0.6667,NA,0,16915,24462,21500,29500,35600,37800,0.1188,0.4521,NA,NA,0.4521,-0.2146,NA,0.4521,0.21957671957672,0.0582010582010582
"3423",3423,"Yeshivath Beth Moshe",2,19448,18281,0.8182,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8182,NA,NA,NA
"3424",3424,"York College Pennsylvania",2,13702,8285,0.616,0.4865,0.8,0.65,1,NA,0.5,0.4,0.4242,23250,21125,20500,44900,49400,53200,0.1295,-0.184,-0.034,-0.384,NA,0.116,0.216,0.1918,0.156015037593985,0.0714285714285714
"3425",3425,"YTI Career Institute-York",3,12780,3923,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,9833,9834,34200,38200,39900,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143,0.0426065162907268
"3426",3426,"Yorktowne Business Institute",3,11073,4206,NA,NA,NA,NA,NA,NA,NA,NA,NA,16875,11781.5,12000,22100,26200,32700,NA,NA,NA,NA,NA,NA,NA,NA,0.324159021406728,0.198776758409786
"3427",3427,"Empire Beauty School-Providence",3,9221,9151,NA,NA,NA,NA,NA,NA,NA,NA,NA,7000,8100,8039.5,19200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3428",3428,"Brown University",2,30816,33278,0.9539,0.9863,0.9728,0.9801,0.7143,1,1,0.9236,0.9721,9140,13919,15750,87200,76600,81400,-0.0324,-0.0189,-0.0262,0.2396,-0.0461,-0.0461,0.0303,-0.0182,-0.0712530712530713,0.058968058968059
"3429",3429,"Bryant University",2,24035,9281,0.7846,0.7308,0.8,0.84,0.5,NA,NA,0.6,0.6667,29500,27000,25000,59200,71900,71700,0.0538,-0.0154000000000001,-0.0554,0.2846,NA,NA,0.1846,0.1179,0.174337517433752,-0.00278940027894003
