"","X","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_AIAN","C150_4_NHPI","C150_4_2MOR","C150_4_NRA","C150_4_UNKN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","gap_completion_white_black","gap_completion_white_hisp","gap_completion_white_asian","gap_completion_white_aian","gap_completion_white_nhpi","gap_completion_white_2mor","gap_completion_white_nra","gap_completion_white_unkn","gap_earnings_high_low","gap_earnings_high_mid"
"37",37,"University of Mobile",2,9947,6766,0.4335,0.2174,0,0.25,1,NA,0,0.3,0.4286,25000,20500,19450,36000,40000,38600,0.2161,0.4335,0.1835,-0.5665,NA,0.4335,0.1335,0.00490000000000002,0.0673575129533679,-0.0362694300518135
"38",38,"University of Montevallo",1,7568,7972,0.4346,0.5714,0.5833,0.4,0.25,NA,NA,NA,0.4054,15000,17000,15000,34600,36300,37700,-0.1368,-0.1487,0.0346,0.1846,NA,NA,NA,0.0292,0.0822281167108753,0.0371352785145889
"39",39,"Northwest-Shoals Community College",1,1624,5099,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,4500,4250,26600,34000,38600,NA,NA,NA,NA,NA,NA,NA,NA,0.310880829015544,0.119170984455959
"40",40,"University of North Alabama",1,6702,7218,0.4789,0.2143,0.4545,0.5,0.3,NA,0.5769,0.5417,0.0647,12000,13405,13552,36800,40700,41800,0.2646,0.0244,-0.0211,0.1789,NA,-0.098,-0.0628,0.4142,0.119617224880383,0.0263157894736842
"41",41,"Northeast Alabama Community College",1,1845,5637,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,3475,4650,29200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"Oakwood University",2,11693,7701,NA,0.4363,0,NA,1,NA,NA,0.6667,0.2,22750,24500,24250,35500,39200,42700,NA,NA,NA,NA,NA,NA,NA,NA,0.168618266978923,0.0819672131147541
"43",43,"Alabama Southern Community College",1,1528,5962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,"Prince Institute-Southeast",3,24156,9188,NA,NA,NA,NA,NA,NA,NA,NA,NA,13863,18012,16693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,"Reid State Technical College",1,1888,9032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,"Bishop State Community College",1,1494,5895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,"Samford University",2,18352,14553,0.6721,0.5306,0.5714,0.6667,0.75,NA,0,0.6,0.8,18750,18123.5,15674.5,66000,63100,49200,0.1415,0.1007,0.00540000000000007,-0.0779,NA,0.6721,0.0721000000000001,-0.1279,-0.341463414634146,-0.282520325203252
"48",48,"Selma University",2,7596,6907,0,0.221,0,NA,NA,NA,NA,NA,0.3333,NA,NA,NA,NA,NA,NA,-0.221,0,NA,NA,NA,NA,NA,-0.3333,NA,NA
"49",49,"Shelton State Community College",1,2132,4615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,"Snead State Community College",1,2171,3230,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,3500,3955,26500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,"University of South Alabama",1,7295,10870,0.4038,0.2917,0.4048,0.4815,0.2143,1,0.2857,0.4667,0.3269,13000,14000,12500,43100,43800,46200,0.1121,-0.001,-0.0777,0.1895,-0.5962,0.1181,-0.0629,0.0769,0.0670995670995671,0.051948051948052
"52",52,"Spring Hill College",2,12082,7460,0.6325,0.4138,0.7,0.75,0.5,NA,NA,NA,0.3846,21750,20500,20000,44600,47100,53000,0.2187,-0.0675,-0.1175,0.1325,NA,NA,NA,0.2479,0.158490566037736,0.111320754716981
"53",53,"Southeastern Bible College",2,10634,4617,0.25,0,NA,NA,NA,NA,NA,0,0.3333,19582,20275,19000,NA,NA,NA,0.25,NA,NA,NA,NA,NA,0.25,-0.0833,NA,NA
"54",54,"Stillman College",2,21345,9567,0.2,0.2051,0,NA,NA,NA,NA,0,NA,16200,17500,9500,25400,30900,34400,-0.00509999999999999,0.2,NA,NA,NA,NA,0.2,NA,0.261627906976744,0.101744186046512
"55",55,"Talladega College",2,18039,8739,0,0.4976,0.087,NA,NA,NA,NA,NA,NA,14250,19521,23125,26500,NA,NA,-0.4976,-0.087,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,"H Councill Trenholm State Community College",1,2493,8227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,"Troy University",1,8632,5643,0.4271,0.2434,0.4828,0.375,0.1364,NA,0.7059,0.1978,0.3704,14250,15558,13824,34700,42300,44300,0.1837,-0.0557,0.0521,0.2907,NA,-0.2788,0.2293,0.0567,0.216704288939052,0.0451467268623025
