"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","gap_completion_white_black"
"1334","Bethel College-North Newton",2,11714,7887,0.6304,0.2857,0.546795685279188
"1335","Brown Mackie College-Kansas City",3,12175,5079,0.3091,0.2273,0.264639275315432
"1336","Brown Mackie College-Salina",3,10073,3945,0.4,0.4091,-0.02275
"1340","Central Christian College of Kansas",2,10162,3250,0.4211,0.5556,-0.319401567323676
"1348","Emporia State University",1,6954,7276,0.4091,0.1842,0.54974333903691
"1350","Fort Hays State University",1,5390,5317,0.4474,0.1579,0.647071971390255
"1352","Friends University",2,14039,5679,0.3223,0.3333,-0.0341296928327645
"1362","Concorde Career College-Kansas City",3,12756,7180,0.5864,0.4828,0.176671214188267
"1365","University of Kansas",1,10881,17259,0.6101,0.4525,0.258318308474021
"1366","Newman University",2,8188,4415,0.4881,0.5,-0.024380249948781
"1368","Kansas State University",1,9596,11388,0.6225,0.2378,0.617991967871486
"1369","Kansas Wesleyan University",2,12463,5154,0.3654,0.125,0.657909140667761
"1375","McPherson College",2,10327,8340,0.49,0.4,0.183673469387755
"1376","MidAmerica Nazarene University",2,10008,6311,0.4972,0.3333,0.329646017699115
"1380","Ottawa University-Ottawa",2,10434,2901,0.3884,0.1818,0.531925849639547
"1382","Pittsburg State University",1,4817,6468,0.5136,0.3125,0.39154984423676
"1384","University of Saint Mary",2,12487,7833,0.3514,0.2857,0.186966420034149
"1388","Southwestern College",2,11562,5360,0.5798,0.2667,0.540013797861332
"1389","Sterling College",2,9022,4448,0.4262,0.3636,0.146879399343032
"1390","Tabor College",2,9635,5332,0.7595,1,-0.316655694535879
"1391","Washburn University",1,5475,8277,0.4087,0.2432,0.404942500611696
"1393","Wichita State University",1,6453,6772,0.4721,0.2857,0.39483160347384
"1396","Asbury University",2,14365,9212,0.6996,0.1429,0.795740423098914
"1400","Bellarmine University",2,15929,8774,0.6752,0.6538,0.0316943127962085
"1401","Berea College",2,2917,14851,0.5813,0.619,-0.0648546361603302
"1404","Brescia University",2,10705,6483,0.2718,0.1667,0.386681383370125
"1405","Campbellsville University",2,9110,5694,0.4343,0.2333,0.462813723232788
"1407","Centre College",2,18011,16874,0.8271,0.6667,0.193930600894692
"1412","University of the Cumberlands",2,8477,4353,0.4241,0.1639,0.613534543739684
"1413","Eastern Kentucky University",1,6440,8940,0.4315,0.2517,0.416685979142526
"1416","Georgetown College",2,12788,8363,0.5479,0.5333,0.0266471983938676
"1422","Daymar College-Paducah Main",3,18535,7711,0.5,0.6,-0.2
"1426","American National University-Lexington",3,7822,5147,0.4032,0.2889,0.283482142857143
"1428","Kentucky State University",1,8557,7500,0.1207,0.2112,-0.749792874896437
"1429","Kentucky Wesleyan College",2,11466,5301,0.3977,0.2778,0.301483530299221
"1430","University of Kentucky",1,10959,11208,0.627,0.4303,0.313716108452951
"1431","Kentucky Christian University",2,9312,5343,0.5714,0.2222,0.611130556527826
"1433","Lindsey Wilson College",2,8592,4898,0.383,0.1379,0.639947780678851
"1434","Sullivan College of Technology and Design",3,15132,6649,0.5517,0.3333,0.395867319195215
"1435","University of Louisville",1,11357,15324,0.5419,0.5018,0.0739988927846466
"1439","Midway University",2,10812,6491,0.5158,0.1333,0.741566498642885
"1440","Morehead State University",1,4950,7086,0.4388,0.2759,0.371239744758432
"1441","Murray State University",1,7371,8075,0.5292,0.4261,0.194822373393802
"1443","Northern Kentucky University",1,8607,7407,0.3783,0.2051,0.457837694951097
"1450","Brown Mackie College-Louisville",3,9348,3525,0.2784,0.1443,0.481681034482759
"1452","Saint Catharine College",2,11546,8416,0.3282,0.0833,0.746191346739793
"1456","Brown Mackie College-Northern Kentucky",3,10197,4583,0.3253,0.2222,0.316938210882262
"1459","Spalding University",2,15099,7192,0.4058,0.2857,0.295958600295712
"1461","Sullivan University",3,13915,3793,0.4312,0.5294,-0.22773654916512
"1462","Thomas More College",2,12637,6692,0.5,0.0769,0.8462
"1463","Transylvania University",2,13229,9988,0.7132,0.875,-0.226864834548514
"1465","Union College",2,10666,5659,0.3547,0.125,0.647589512263885
"1466","Western Kentucky University",1,7780,8290,0.4821,0.2008,0.583488902717279
"1484","Dillard University",2,12186,12378,1,0.3653,0.6347
"1486","Grambling State University",1,4543,5199,0.4286,0.3246,0.242650489967335
"1492","Louisiana State University-Alexandria",1,4864,7243,0.2046,0.1724,0.157380254154448
"1493","Louisiana State University and Agricultural & Mechanical College",1,10082,10227,0.6797,0.6009,0.115933500073562
"1495","Louisiana State University-Shreveport",1,4180,6256,0.3514,0.2267,0.35486624928856
"1499","Louisiana College",2,9880,9049,0.5145,0.3158,0.38620019436346
"1501","Louisiana Tech University",1,6473,6006,0.5519,0.4217,0.235912302953433
"1502","Loyola University New Orleans",2,18553,12082,0.6266,0.5155,0.177306096393233
"1503","McNeese State University",1,4780,4921,0.439,0.2948,0.328473804100228
"1504","University of New Orleans",1,7792,8102,0.3251,0.2478,0.237772992925254
"1505","Nicholls State University",1,5254,5685,0.4332,0.2845,0.3432594644506
"1506","University of Louisiana at Monroe",1,6327,6141,0.428,0.3389,0.208177570093458
"1509","Northwestern State University of Louisiana",1,5838,5447,0.3946,0.3562,0.0973137354282818
"1510","University of Holy Cross",2,13551,5405,0.3559,0.125,0.648777746558022
"1511","Our Lady of the Lake College",2,12893,7026,0.3281,0.1875,0.428527887839073
"1524","Southeastern Louisiana University",1,4772,5717,0.3984,0.2643,0.336596385542169
"1525","Southern University and A & M College",1,4727,6523,0.4,0.3241,0.18975
"1528","University of Louisiana at Lafayette",1,5702,5433,0.5054,0.4049,0.198852394143253
"1530","Tulane University of Louisiana",2,24250,21627,0.8452,0.5758,0.318741126360625
"1531","Xavier University of Louisiana",2,15977,8378,0.2727,0.4311,-0.580858085808581
"1533","Kaplan University-Maine Campus",3,6670,1974,0.1697,0.125,0.263406010606953
"1535","Bates College",2,41051,21684,0.8834,0.8966,-0.0149422685080371
"1537","Bowdoin College",2,28543,27158,0.9615,0.8,0.167966718668747
"1540","Colby College",2,28496,19918,0.9204,0.8571,0.06877444589309
"1542","Husson University",2,12740,6040,0.4523,0.0811,0.820694229493699
"1546","University of Maine at Farmington",1,6403,9705,0.5406,0.4444,0.1779504254532
"1547","University of Maine at Fort Kent",1,5616,6945,0.5055,0.5,0.0108803165182986
"1549","University of Maine",1,9569,10098,0.5991,0.4333,0.276748456017359
"1552","University of New England",2,20791,10350,0.5818,0.3333,0.427122722585081
"1555","Maine College of Art",2,18009,10322,0.4556,1,-1.19490781387182
"1556","Saint Joseph's College of Maine",2,9806,6776,0.6308,0.5,0.207355738744452
"1559","University of Southern Maine",1,8764,9665,0.3354,0.1818,0.457960644007156
"1560","Thomas College",2,10375,3685,0.4416,0.125,0.716938405797101
"1561","Unity College",2,14860,7830,0.6144,0.2,0.674479166666667
"1571","University of Baltimore",1,10024,9029,0.5435,0.303,0.442502299908004
"1572","Bowie State University",1,5394,6933,0.4545,0.3311,0.271507150715072
"1573","Capitol Technology University",2,22353,6546,0.5,0.3684,0.2632
"1577","Washington Adventist University",2,10184,10322,0.3333,0.381,-0.143114311431143
"1582","Frostburg State University",1,5333,7315,0.513,0.4414,0.139571150097466
"1584","Goucher College",2,17814,14320,0.6444,0.6071,0.0578833022967101
"1585","Kaplan University-Hagerstown Campus",3,8241,2035,0.4256,0.2308,0.457706766917293
"1588","Hood College",2,15064,8924,0.7318,0.5714,0.219185569827822
"1591","Johns Hopkins University",2,23199,77339,0.9423,0.8571,0.0904170646290991
"1594","Loyola University Maryland",2,24968,11858,0.8393,0.7209,0.141069939235077
"1596","University of Maryland-University College",1,10859,4401,0.0357,0.0784,-1.19607843137255
"1598","University of Maryland-Baltimore County",1,8750,9911,0.6344,0.5885,0.0723518284993694
"1599","University of Maryland-College Park",1,11089,13487,0.8653,0.7743,0.105165838437536
"1600","Maryland Institute College of Art",2,27067,13752,0.7311,0.7,0.0425386404048694
"1601","University of Maryland Eastern Shore",1,4016,8675,0.3784,0.3673,0.0293340380549683
"1605","Morgan State University",1,5872,9454,0.0714,0.3231,-3.52521008403361
"1606","Mount St Mary's University",2,16339,9008,0.6462,0.5946,0.0798514391829155
"1609","Notre Dame of Maryland University",2,15870,10387,0.6296,0.5405,0.141518424396442
"1614","Salisbury University",1,6252,6764,0.6801,0.5304,0.220114689016321
"1615","St Mary's College of Maryland",1,12403,13744,0.8199,0.7714,0.0591535553116234
"1619","Towson University",1,6531,5824,0.6983,0.6678,0.0436775025060863
"1622","Stevenson University",2,14586,9166,0.6829,0.5169,0.243080978181286
"1623","Washington College",2,20737,13085,0.7627,0.7083,0.0713255539530615
"1624","McDaniel College",2,14652,9518,0.6812,0.6207,0.0888138578978274
"1628","American International College",2,13220,6417,0.4345,0.3675,0.154200230149597
"1629","Amherst College",2,23728,25196,0.9583,0.875,0.0869247626004383
"1631","Anna Maria College",2,15425,6591,0.4263,0.4211,0.0121979826413325
"1633","Assumption College",2,13538,8256,0.7198,0.3636,0.494859683245346
"1634","Babson College",2,33960,14110,0.9162,0.9524,-0.0395110237939315
"1637","Bay Path University",2,13659,6300,0.6667,0.4211,0.368381580920954
"1638","Bay State College",3,18058,5322,0.2404,0.3538,-0.47171381031614
"1640","Becker College",2,18707,6358,0.3333,0.129,0.612961296129613
"1641","Bentley University",2,26044,13120,0.9156,0.7879,0.139471384884229
"1642","Berklee College of Music",2,30778,20631,0.4839,0.2759,0.429840876214094
"1647","Boston College",2,29527,20571,0.931,0.8065,0.133727175080559
"1649","Boston University",2,28408,26542,0.8717,0.8348,0.0423310772054606
"1650","Brandeis University",2,20256,14961,0.9707,0.8,0.175852477593489
"1651","Bridgewater State University",1,7655,5945,0.5964,0.5909,0.00922199865861848
"1659","Clark University",2,16719,10719,0.7917,0.5833,0.263231021851711
"1661","Curry College",2,20717,10358,0.4698,0.1923,0.590676883780332
"1663","Dean College",2,16144,7298,0.461,0.4681,-0.0154013015184382
"1666","Eastern Nazarene College",2,13130,6285,0.8226,0.4667,0.432652565037685
"1667","Emerson College",2,25406,9633,0.7786,0.8095,-0.0396866170048806
"1668","Emmanuel College",2,17131,7602,0.6744,0.8333,-0.23561684460261
"1669","Endicott College",2,14246,6182,0.741,0.75,-0.0121457489878543
"1672","Fisher College",2,12837,7010,0.3455,0.25,0.276410998552822
"1673","Fitchburg State University",1,6214,8460,0.5805,0.4848,0.164857881136951
"1674","Framingham State University",1,5875,5518,0.5318,0.5185,0.0250094020308388
"1675","Benjamin Franklin Institute of Technology",2,11283,6539,0.5224,0.3827,0.267419601837672
"1676","Gordon College",2,18066,10259,0.7345,0.5556,0.24356705241661
"1680","Hampshire College",2,25111,14371,0.7425,0.8571,-0.154343434343434
"1681","Harvard University",2,30239,49500,0.9865,0.9643,0.0225038013177902
"1685","College of the Holy Cross",2,26127,18884,0.9464,0.8571,0.0943575655114117
"1690","Lasell College",2,17628,6513,0.5875,0.5652,0.0379574468085106
"1692","Lesley University",2,18064,9026,0.6164,0.4,0.351070733290071
"1694","University of Massachusetts-Lowell",1,11698,10748,0.5584,0.5079,0.0904369627507163
"1697","Marian Court College",2,11115,4780,0.5135,0.5714,-0.112755598831548
"1698","University of Massachusetts-Amherst",1,12076,13886,0.7574,0.6898,0.0892527066279377
"1699","University of Massachusetts-Boston",1,12413,12574,0.424,0.3636,0.142452830188679
"1701","MCPHS University",2,28155,9636,0.6953,0.6333,0.0891701423845823
"1702","Massachusetts College of Art and Design",1,11821,11227,0.7041,0.5556,0.210907541542395
"1703","Massachusetts Institute of Technology",2,28992,62770,0.922,0.8191,0.111605206073753
"1704","Massachusetts Maritime Academy",1,8830,8702,0.7029,0.3333,0.525821596244131
"1709","Merrimack College",2,17808,8599,0.7301,0.5,0.315162306533352
"1713","Mount Holyoke College",2,18878,22711,0.811,0.7619,0.0605425400739828
"1714","Mount Ida College",2,16767,8297,0.4226,0.3833,0.0929957406530999
"1717","School of the Museum of Fine Arts-Boston",2,24737,14646,0.4444,0.75,-0.687668766876688
"1720","The New England Conservatory of Music",2,30965,28846,0.8056,0.8333,-0.0343843098311818
"1725","Newbury College",2,15985,6545,0.4527,0.26,0.425668212944555
"1726","Nichols College",2,15101,4991,0.509,0.2667,0.476031434184676
"1727","Massachusetts College of Liberal Arts",1,5499,9487,0.5358,0.381,0.288913773796193
"1730","The New England Institute of Art",3,16394,9438,0.3505,0.2727,0.221968616262482
"1731","Northeastern University",2,29609,15593,0.8288,0.7034,0.151303088803089
"1733","College of Our Lady of the Elms",2,12028,6617,0.8299,0.5455,0.342691890589228
"1734","Pine Manor College",2,13673,10992,0.4091,0.3276,0.199217795160108
"1741","Salem State University",1,7002,8666,0.4698,0.434,0.0762026394210302
"1743","Simmons College",2,18581,13365,0.651,0.8,-0.228878648233487
"1744","Bard College at Simon's Rock",2,20848,18161,0.5588,0.4667,0.164817465998568
"1745","Smith College",2,21901,26786,0.8522,0.9032,-0.0598451067824455
"1747","Springfield College",2,16867,10507,0.7146,0.4231,0.407920514973412
"1749","University of Massachusetts-Dartmouth",1,9174,11024,0.481,0.4341,0.0975051975051975
"1750","Stonehill College",2,21222,13349,0.8263,0.8235,0.00338859978216147
"1751","Suffolk University",2,24887,9476,0.5633,0.5781,-0.0262737440085211
"1753","Tufts University",2,29681,21543,0.9393,0.8393,0.106462259129139
"1754","Wellesley College",2,19090,34705,0.9011,0.9535,-0.0581511485961603
"1755","Wentworth Institute of Technology",2,16132,9040,0.6579,0.4815,0.26812585499316
"1756","Western New England University",2,19220,9678,0.6153,0.4,0.349910612709247
"1757","Westfield State University",1,7161,7305,0.6408,0.4231,0.339731585518102
"1758","Wheaton College",2,23672,15477,0.7712,0.88,-0.141078838174274
"1759","Wheelock College",2,18206,12496,0.5605,0.6,-0.0704727921498662
"1760","Williams College",2,28118,39712,0.9747,0.825,0.153585718682672
"1761","Worcester Polytechnic Institute",2,32881,23528,0.8542,0.75,0.121985483493327
"1762","Worcester State University",1,6197,6651,0.5581,0.5263,0.0569790360150512
"1763","Adrian College",2,14193,8616,0.5655,0.5,0.115826702033599
"1764","Albion College",2,16808,13911,0.7376,0.4286,0.418926247288503
"1767","Alma College",2,15295,11731,0.6192,0.3125,0.4953165374677
"1769","Andrews University",2,15627,12620,0.575,0.5843,-0.0161739130434784
"1770","Aquinas College",2,11627,6096,0.5561,0.1053,0.810645567344003
"1771","Baker College of Owosso",2,7879,4185,0.1551,0.0833,0.462927143778208
"1772","Baker College",2,9903,5261,0.1049,0.057,0.456625357483317
"1776","Calvin College",2,16813,12897,0.7617,0.55,0.277930943941184
"1780","Central Michigan University",1,9613,8491,0.5666,0.4452,0.214260501235439
"1785","College for Creative Studies",2,23602,11285,0.6313,0.5556,0.119911294154918
"1786","Davenport University",2,16437,5006,0.4545,0.2264,0.501870187018702
"1792","University of Detroit Mercy",2,22915,13830,0.5575,0.2473,0.556412556053812
"1795","Eastern Michigan University",1,9345,8398,0.4507,0.2043,0.54670512536055
"1796","Ferris State University",1,9806,8867,0.4548,0.2209,0.51429199648197
"1799","Kettering University",2,20979,11797,0.6142,0.3871,0.369749267339629
"1802","Cornerstone University",2,11233,6235,0.4792,0.2308,0.518363939899833
"1805","Grand Valley State University",1,10238,8086,0.6591,0.5739,0.12926718252162
"1808","Hope College",2,18046,10084,0.8158,0.7143,0.124417749448394
"1809","ITT Technical Institute-Wyoming",3,17601,2575,0.4023,0.2,0.502858563261248
"1810","Jackson College",1,2821,6229,0.1202,0.0282,0.765391014975042
"1812","Kalamazoo College",2,17397,15391,0.8431,0.75,0.110425809512513
"1817","Lake Michigan College",1,3035,6590,0.1824,0.0385,0.788925438596491
"1818","Lake Superior State University",1,7082,7893,0.4739,0.5,-0.0550749103186327
"1820","Lawrence Technological University",2,19554,9838,0.546,0.1111,0.796520146520147
"1824","Marygrove College",2,10173,7473,0.2727,0.1609,0.40997433076641
"1825","Rochester College",2,11453,5084,0.4762,0.3077,0.353842923141537
"1826","University of Michigan-Ann Arbor",1,21520,22728,0.9199,0.7929,0.138058484617893
"1828","Michigan State University",1,16352,14779,0.8294,0.579,0.301904991560164
"1829","Michigan Technological University",1,12860,10843,0.6525,0.5,0.233716475095785
"1830","University of Michigan-Dearborn",1,11540,9576,0.5147,0.3289,0.360986982708374
"1831","University of Michigan-Flint",1,10169,8190,0.3724,0.236,0.366272824919442
"1836","Baker College of Muskegon",2,8655,4598,0.1799,0.0395,0.780433574207893
"1841","Northern Michigan University",1,7554,7460,0.5065,0.2593,0.488055281342547
"1844","Northwood University-Michigan",2,11879,5582,0.6161,0.3636,0.409836065573771
"1846","Oakland University",1,9761,7654,0.4957,0.2465,0.502723421424249
"1847","Olivet College",2,12774,5426,0.4505,0.1897,0.578912319644839
"1849","Kuyper College",2,13482,10725,0.6538,1,-0.529519730804527
"1854","Saginaw Valley State University",1,7974,6283,0.4361,0.1623,0.627837651914698
"1856","Siena Heights University",2,9436,5072,0.6136,0.2,0.674054758800521
"1860","Spring Arbor University",2,10068,7358,0.5581,0.4348,0.220928149077226
"1862","Finlandia University",2,14679,8519,0.4138,0.125,0.697921701304978
"1868","Wayne State University",1,9959,13364,0.4909,0.1295,0.736198818496639
"1871","Western Michigan University",1,11364,10047,0.5543,0.3683,0.335558361897889
"1879","Augsburg College",2,16467,9081,0.6877,0.4286,0.376763123454995
"1884","Bethel University",2,15840,8633,0.7664,0.3529,0.539535490605428
"1887","Carleton College",2,29707,26922,0.9522,0.8095,0.149863474060071
"1888","Concordia College at Moorhead",2,16727,10948,0.7682,0.6364,0.171569903670919
"1889","Concordia University-Saint Paul",2,10502,5540,0.562,0.3,0.466192170818505
"1891","Martin Luther College",2,12059,8476,0.7195,0.3333,0.536761640027797
"1894","Duluth Business University",3,13955,10278,0.4603,0.5,-0.0862480990658267
"1896","Globe University-Woodbury",3,18030,5104,0.4,0.5,-0.25
"1898","Gustavus Adolphus College",2,19361,15317,0.8189,0.75,0.0841372572963731
"1899","Hamline University",2,15603,7489,0.7255,0.375,0.483115093039283
"1907","The Art Institutes International-Minnesota",3,13978,5410,0.4717,0.4,0.152003391986432
"1909","Macalester College",2,22572,19210,0.9104,0.6667,0.26768453427065
"1911","Minnesota State University-Mankato",1,5683,6040,0.5163,0.3011,0.41681193104784
