"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","gap_completion_white_black"
"1917","Metropolitan State University",1,4823,4518,0.45,0.4545,-0.01
"1918","University of Minnesota-Twin Cities",1,11369,13558,0.819,0.5792,0.292796092796093
"1919","University of Minnesota-Crookston",1,6048,6197,0.5365,0.0833,0.844734389561976
"1921","Minneapolis College of Art and Design",2,20327,12923,0.6173,1,-0.619957881095092
"1923","Herzing University-Minneapolis",3,14445,7788,0.8182,0.375,0.541676851625519
"1925","Crossroads College",2,9753,5655,0.3077,0.3333,-0.0831979200519987
"1926","University of Minnesota-Duluth",1,8339,7011,0.6038,0.5484,0.091752235839682
"1927","University of Minnesota-Morris",1,5263,8474,0.7028,0.4545,0.353301081388731
"1928","Minnesota School of Business-Richfield",3,20537,5815,0.3333,0.3333,0
"1930","Minnesota State University Moorhead",1,5398,7267,0.4376,0.1667,0.619058500914077
"1932","National American University-Roseville",3,15938,2656,0.5,0.2857,0.4286
"1933","Sanford-Brown College-Mendota Heights",3,22676,9896,0.6563,0.2,0.695261313423739
"1935","North Central University",2,13873,6438,0.5342,0.2,0.625608386372145
"1937","University of Northwestern-St Paul",2,14599,7434,0.6738,0.6667,0.0105372514099139
"1939","Oak Hills Christian College",2,20775,8270,0.1905,1,-4.249343832021
"1944","College of Saint Benedict",2,19671,11311,0.8271,1,-0.209043646475638
"1947","Saint Cloud State University",1,5055,7329,0.4596,0.2278,0.504351610095735
"1948","Saint Johns University",2,19386,13539,0.8159,0.8889,-0.0894717489888468
"1949","Saint Mary's University of Minnesota",2,10752,5392,0.6921,0.5714,0.174396763473487
"1950","St Olaf College",2,22964,16837,0.8997,0.8,0.11081471601645
"1951","Crown College",2,11759,3426,0.6,0.25,0.583333333333333
"1952","The College of Saint Scholastica",2,13989,8096,0.6387,0.3333,0.478158759981212
"1953","University of St Thomas",2,19304,13637,0.7233,0.8056,-0.113784045347712
"1955","St Catherine University",2,16543,10127,0.6449,0.275,0.573577298806016
"1958","Southwest Minnesota State University",1,3858,5745,0.504,0.1176,0.766666666666667
"1962","Dunwoody College of Technology",2,17817,11493,0.4903,0.2647,0.460126453191923
"1965","Winona State University",1,5690,6581,0.5774,0.4667,0.19172151021822
"1968","Alcorn State University",1,4263,6877,0.4286,0.4038,0.0578628091460569
"1969","Belhaven University",2,8508,3859,0.6099,0.3611,0.407935727168388
"1970","Blue Mountain College",2,5542,6886,0.4857,0.1667,0.656784023059502
"1977","Delta State University",1,4487,7064,0.3575,0.2535,0.290909090909091
"1985","Jackson State University",1,5499,7627,0.4,0.4333,-0.08325
"1988","Millsaps College",2,12365,14341,0.6809,0.3415,0.49845792333676
"1990","University of Mississippi",1,9498,14232,0.6414,0.4868,0.241035235422513
"1991","Mississippi University for Women",1,4627,6554,0.4876,0.3058,0.372846595570139
"1992","Mississippi Valley State University",1,2497,8966,0.3333,0.3054,0.0837083708370837
"1993","Mississippi College",2,11473,7825,0.5953,0.2857,0.52007391231312
"1996","Mississippi State University",1,7092,7318,0.6356,0.4856,0.235997482693518
"2003","University of Southern Mississippi",1,6285,8219,0.5612,0.4101,0.269244476122594
"2005","Tougaloo College",2,7711,5457,1,0.5277,0.4723
"2007","William Carey University",2,12022,6703,0.5481,0.625,-0.140302864440795
"2010","Avila University",2,12703,6966,0.4679,0.4167,0.109425090831374
"2011","ITT Technical Institute-Earth City",3,19678,2710,0.3571,0.3182,0.108933071968636
"2018","Central Methodist University-College of Liberal Arts and Sciences",2,17159,10194,0.5276,0.3182,0.396891584533738
"2019","University of Central Missouri",1,6960,7862,0.5525,0.4015,0.273303167420814
"2024","Columbia College",2,7006,4239,0.44,0.0667,0.848409090909091
"2027","Cottey College",2,8256,20532,0.6412,0.4167,0.350124766063631
"2030","Culver-Stockton College",2,9545,6034,0.445,0.2778,0.375730337078652
"2031","Drury University",2,10051,6561,0.6627,0.381,0.425079221367134
"2036","Evangel University",2,11355,6895,0.5179,0.3125,0.39660166055223
"2037","Fontbonne University",2,15390,8353,0.5615,0.2105,0.625111308993767
"2041","Hannibal-LaGrange University",2,9457,4807,0.3817,0.2727,0.285564579512706
"2043","Hickey College",3,11498,6139,0.7,0.7333,-0.0475714285714286
"2049","Kansas City Art Institute",2,18976,10567,0.54,0.375,0.305555555555556
"2054","Lincoln University",1,2941,6329,0.4438,0.1593,0.641054529067147
"2055","Lindenwood University",2,12137,4135,0.5616,0.4938,0.120726495726496
"2060","Maryville University of Saint Louis",2,12443,6558,0.6855,0.3333,0.513785557986871
"2066","Westwood College-O'Hare Airport",3,16589,3820,0.3226,0.1818,0.436453812771234
"2067","Missouri Baptist University",2,9724,4304,0.4805,0.25,0.479708636836629
"2069","Missouri College",3,12538,5263,0.8364,0.5921,0.29208512673362
"2071","Missouri Southern State University",1,3288,6657,0.3768,0.2703,0.282643312101911
"2073","Missouri Valley College",2,6386,3708,0.264,0.2471,0.0640151515151516
"2074","Missouri Western State University",1,5591,7666,0.389,0.1491,0.616709511568123
"2075","University of Missouri-Columbia",1,10477,11448,0.7097,0.5731,0.192475693955192
"2076","University of Missouri-Kansas City",1,11058,15441,0.5789,0.2484,0.570910347210226
"2077","Missouri University of Science and Technology",1,11141,13337,0.6422,0.4902,0.236686390532544
"2078","University of Missouri-St Louis",1,8628,9752,0.4624,0.2381,0.48507785467128
"2084","Truman State University",1,5083,9417,0.7151,0.6418,0.102503146413089
"2085","Northwest Missouri State University",1,6306,7972,0.5175,0.2727,0.47304347826087
"2087","College of the Ozarks",2,384,9106,0.6423,0.4,0.377238050755099
"2088","Park University",2,8278,3975,0.4308,0.25,0.419684308263695
"2089","Stevens-The Institute of Business & Arts",3,9897,7084,0.8,0.6667,0.166625
"2091","Ranken Technical College",2,10542,3330,0.8585,0.5238,0.389866045428072
"2093","Rockhurst University",2,14625,7034,0.7074,0.3529,0.501130901894261
"2095","Everest College-Springfield",3,10842,6112,0.4444,0.1333,0.70004500450045
"2096","Saint Louis University",2,19691,18230,0.7566,0.4632,0.387787470261697
"2098","Sanford-Brown College-Fenton",3,18504,18233,0.5281,0.2222,0.579246354857035
"2101","Saint Louis Christian College",2,7710,6464,0.4839,0.3333,0.311221326720397
"2102","St Louis College of Pharmacy",2,24290,13971,0.6647,0.4,0.398224763051
"2105","Southwest Baptist University",2,8983,5389,0.532,0.1429,0.731390977443609
"2110","Stephens College",2,12161,9552,0.4783,0.7,-0.463516621367343
"2111","Southeast Missouri State University",1,7457,6658,0.5249,0.4812,0.0832539531339303
"2112","Missouri State University-Springfield",1,6458,6932,0.5684,0.3235,0.430858550316678
"2117","Washington University in St Louis",2,24889,105933,0.9535,0.9231,0.031882538017829
"2118","Webster University",2,15482,6722,0.6483,0.5,0.228752120931667
"2120","Westminster College",2,8592,6678,0.674,0.5882,0.127299703264095
"2121","William Jewell College",2,9798,9847,0.6026,0.6,0.00431463657484243
"2122","William Woods University",2,10315,6356,0.5633,0.2,0.644949405290254
"2128","Carroll College",2,15060,7695,0.6478,0.5,0.228156838530411
"2131","Montana State University-Billings",1,5594,6682,0.2652,0.25,0.057315233785822
"2142","Montana State University",1,9467,7321,0.5089,0.4,0.21399096089605
"2143","The University of Montana",1,7723,8367,0.4917,0.375,0.237339841366687
"2147","The University of Montana-Western",1,5415,7023,0.474,0.75,-0.582278481012658
"2149","Bellevue University",2,10366,2197,0.3571,0.2,0.439932791935032
"2155","Concordia University-Nebraska",2,10123,5567,0.6939,0.4,0.423548061680357
"2156","Creighton University",2,22571,13517,0.7989,0.75,0.0612091625985731
"2157","Doane University-Arts & Sciences",2,12179,10364,0.6049,0.6667,-0.102165647214416
"2159","Hastings College",2,9191,8140,0.5957,0.5,0.160651334564378
"2162","University of Nebraska at Kearney",1,4655,7658,0.5882,0.1429,0.757055423325399
