"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_AIAN","C150_4_NHPI","C150_4_2MOR","C150_4_NRA","C150_4_UNKN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10"
"6053","CollegeAmerica-Cheyenne",2,"16020","4593","0.1692","0.5","0.2","NULL","0","NULL","NULL","NULL","0.2","19500","20000","17500","24300","33000","35300"
"6054","Paul Mitchell the School-San Antonio",3,"9547","3649","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9833","9833","25300","PrivacySuppressed","PrivacySuppressed"
"6055","Centro de Estudios Multidisciplinarios-Bayamon",3,"3759","1308","NULL","NULL","0.6307","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","20400","PrivacySuppressed","PrivacySuppressed"
"6056","Bryant & Stratton College-Wauwatosa",3,"13558","4149","0.2727","0.2647","0","1","NULL","NULL","NULL","NULL","NULL","9500","13385.5","12950","22400","30500","35000"
"6057","Minnesota School of Business-Blaine",3,"22013","6233","0.5263","0.5","0","1","0.3333","NULL","NULL","NULL","0","19000","20832","16832","29500","38000","40500"
"6058","The Art Institute of Michigan",3,"13954","4726","0.5833","0.4286","0.5","0.5","NULL","NULL","1","NULL","0.2245","10936","15416","15834","33200","39700","38900"
"6059","The Art Institute of Austin",3,"12707","4097","0.4167","0.25","0.3529","NULL","NULL","NULL","NULL","NULL","0.3333","12450","13876","14541","34500","36700","43800"
"6060","Argosy University-The Art Institute of California-Silicon Valley",3,"16294","6822","0.1818","0","0.75","0.4","NULL","NULL","NULL","NULL","NULL","9500","12667","12500","40500","41300","42800"
"6061","Remington College-Houston Southeast Campus",2,"11322","5456","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9500","9500","26300","PrivacySuppressed","PrivacySuppressed"
"6062","Remington College-Shreveport Campus",2,"10318","4007","0.7368","0.5884","1","0.5","NULL","NULL","1","NULL","NULL","9500","9500","9500","22000","PrivacySuppressed","PrivacySuppressed"
"6063","National American University-Austin",3,"14878","2953","0.5","NULL","0","NULL","NULL","NULL","0","NULL","NULL","10626.5","16176.5","17500","30300","43300","56400"
"6064","National American University-Wichita",3,"14845","2029","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10626.5","16176.5","17500","30300","43300","56400"
"6065","Fortis College-Landover",3,"8722","3698","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11092","11556","9500","23800","34200","33500"
"6066","Jenny Lea Academy of Cosmetology",3,"6315","3763","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6907","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"6067","ITT Technical Institute-Cary",3,"17978","2298","0.3043","0.1429","NULL","NULL","NULL","NULL","NULL","NULL","0.5","12667","17014","17000","38200","46300","47200"
"6068","ITT Technical Institute-Madison",3,"18598","3537","0.1842","0.2609","NULL","1","NULL","NULL","NULL","NULL","NULL","12667","17014","17000","38200","46300","47200"
"6069","ITT Technical Institute-Clive",3,"17648","2247","0.2308","0.25","0.5","0","NULL","NULL","NULL","NULL","1","12667","17014","17000","38200","46300","47200"
"6070","ITT Technical Institute-Columbus",3,"18030","1840","0.2273","0.2","NULL","NULL","0","NULL","NULL","NULL","0.25","12667","17014","17000","38200","46300","47200"
"6071","ITT Technical Institute-Phoenix",3,"20129","4257","0.381","0.0909","0.25","0.3333","0.2857","NULL","NULL","NULL","NULL","12667","17014","17000","38200","46300","47200"
"6072","ITT Technical Institute-Madison",3,"18402","2750","0.4167","0.1053","0","0","0","NULL","NULL","NULL","NULL","12667","17014","17000","38200","46300","47200"
"6073","ITT Technical Institute-High Point",3,"18443","2807","0.1667","0.2667","0.5","0","NULL","NULL","NULL","NULL","NULL","12667","17014","17000","38200","46300","47200"
"6074","The Hair Academy",3,"5482","3228","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7808","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6075","The Art Institutes International–Kansas City",3,"13682","5174","0.3","0.0909","0","0","NULL","NULL","NULL","NULL","NULL","11093.5","14326","13000","27700","PrivacySuppressed","PrivacySuppressed"
"6076","The Art Institute of Raleigh-Durham",3,"14368","4381","0.3333","0.2","0","NULL","NULL","NULL","NULL","NULL","0","8171","10559","12387.5","29200","40600","46400"
"6077","Le Cordon Bleu College of Culinary Arts-Sacramento",3,"10279","2698","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10773","11250","10346","33400","36300","37700"
