"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_AIAN","C150_4_NHPI","C150_4_2MOR","C150_4_NRA","C150_4_UNKN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10"
"2411","Empire Beauty School-Queens",3,"10354","8311","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7137","7665","8300","17700","PrivacySuppressed","PrivacySuppressed"
"2412","Concordia College-New York",2,"16985","8617","0.6078","0.5","0.3333","0","NULL","NULL","0.3333","0.3077","NULL","21000","24250","23335","48400","49300","46500"
"2413","Continental School of Beauty Culture-Buffalo",3,"9440","2491","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8025","6333","5388.5","18200","PrivacySuppressed","PrivacySuppressed"
"2414","Continental School of Beauty Culture-Batavia",3,"9851","3159","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8500","PrivacySuppressed","PrivacySuppressed","17400","PrivacySuppressed","PrivacySuppressed"
"2415","Continental School of Beauty Culture-Rochester",3,"10817","3586","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6750","6333","5474.5","20400","PrivacySuppressed","PrivacySuppressed"
"2416","Cooper Union for the Advancement of Science and Art",2,"2876","21635","0.8409","0.7273","0.8462","0.825","1","1","0.7857","0.8261","1","18641","15950","18500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2417","Cornell University",2,"25066","23818","0.9445","0.8786","0.8755","0.9605","0.9091","1","0.9659","0.8697","0.937","6448","9900","13331.5","106000","89300","94300"
"2418","Weill Cornell Medical College",2,"22945","193088","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6448","9900","13331.5","106000","89300","94300"
"2419","Corning Community College",1,"1381","6272","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6760","8122.5","6500","28900","35200","39700"
"2420","Pomeroy College of Nursing at Crouse Hospital",2,"8388","6153","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","17500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","50500","PrivacySuppressed"
"2421","Culinary Institute of America",2,"22161","12857","0.7317","0.6897","0.7027","0.8","1","1","NULL","0.9583","0.7143","14228.5","12000","12000","44900","43000","49400"
"2422","CUNY Bernard M Baruch College",1,"6620","8733","0.6503","0.5986","0.5686","0.7043","0.75","NULL","NULL","0.6591","NULL","7500","7784","11000","58200","63700","67100"
"2423","CUNY Borough of Manhattan Community College",1,"1855","6175","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5000","5447.5","5500","36500","41800","46000"
"2424","CUNY Bronx Community College",1,"1204","7957","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5985","5397","5350","34100","PrivacySuppressed","PrivacySuppressed"
"2425","CUNY Brooklyn College",1,"4474","8934","0.5364","0.4435","0.3962","0.5709","NULL","NULL","NULL","0.4808","NULL","6700","8500","11500","48700","50900","58100"
"2426","College of Staten Island CUNY",1,"3868","8302","0.3246","0.1435","0.1898","0.2792","0.2","NULL","NULL","0.1837","NULL","6000","7500","10480.5","43400","46000","50900"
"2427","CUNY City College",1,"4649","13370","0.4465","0.4188","0.4209","0.4732","0.6667","NULL","NULL","0.4776","NULL","7500","10000","12000","49300","51500","61000"
"2428","CUNY Graduate School and University Center",1,"6593","41614","1","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","5500","8730","9500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2429","CUNY Hostos Community College",1,"1771","8986","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4500","5000","4986","32700","PrivacySuppressed","PrivacySuppressed"
"2430","CUNY Hunter College",1,"5909","9116","0.4971","0.5361","0.4739","0.5886","0.3333","NULL","NULL","0.4414","NULL","7000","9999","11000","46100","50700","54200"
"2431","CUNY John Jay College of Criminal Justice",1,"4113","8629","0.4324","0.3501","0.3631","0.4444","0.6667","NULL","NULL","0.5366","NULL","6200","9864","10914","45400","48700","57500"
"2432","CUNY Kingsborough Community College",1,"1561","6455","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4592","4375","5500","39700","40400","48300"
"2433","CUNY LaGuardia Community College",1,"2121","6445","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4499.5","3500","3500","35000","39000","45700"
"2434","CUNY Lehman College",1,"5599","9882","0.5079","0.378","0.3438","0.4583","0","NULL","NULL","0.3548","NULL","6500","7750","11000","41900","48400","49900"
"2435","CUNY Medgar Evers College",1,"2419","9962","0","0.1119","0.1613","0.1667","NULL","NULL","NULL","0.1967","NULL","5250","5500","6750","36000","PrivacySuppressed","PrivacySuppressed"
"2436","CUNY New York City College of Technology",1,"2839","8532","0.1835","0.1257","0.1278","0.207","0.1","NULL","NULL","0.181","NULL","6901","6000","7469","41000","41800","49800"
"2437","CUNY Queens College",1,"4826","8503","0.6447","0.5118","0.49","0.5351","1","NULL","NULL","0.4607","NULL","7500","7950","9877","49900","50800","54200"
"2438","CUNY Queensborough Community College",1,"2316","7318","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4750","4751","5500","39300","42600","46100"
"2439","CUNY School of Law",1,"13499","33424","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2440","CUNY York College",1,"3421","8699","0.2987","0.327","0.2318","0.2987","0.3333","NULL","NULL","0.2879","NULL","5500","6750","7950","39900","43000","62000"
"2441","CVPH Medical Center School of Radiologic Technology",2,"635","6030","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2442","D'Youville College",2,"17976","9847","0.4522","0.2692","0.375","0","0","NULL","NULL","0.7857","0.375","21113","21500","19000","48600","59200","55500"
"2443","Daemen College",2,"12993","8096","0.5154","0.2941","0.5","0","0","0","0","1","0","11197","16750","15459","36400","46400","47100"
"2444","Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary",2,"34733","45328","0.5263","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"2445","Dominican College of Blauvelt",2,"17734","7330","0.4065","0.3333","0.3537","0.5833","NULL","NULL","0.2222","0.3333","0.4","15250","18346","18500","45100","53800","57100"
"2446","Dowling College",2,"18761","9176","0.4318","0.1918","0.3051","1","NULL","0.5714","NULL","0.2727","0.3093","18887.5","22280","19500","42800","45800","50900"
"2447","Dutchess Community College",1,"3422","6007","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5500","5500","5500","33500","42000","42100"
"2448","Belanger School of Nursing",2,"5316","14951","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12591","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2449","Elmira Business Institute",3,"21091","4098","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12421","18288","12875","21700","PrivacySuppressed","PrivacySuppressed"
"2450","Elmira College",2,"14188","8318","0.604","0.5","0.3333","0.5","1","NULL","1","1","0.2647","15000","26021","24250","39700","45900","47500"
"2451","Erie Community College",1,"3277","5623","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4158.5","5250","5500","32300","38200","40400"
"2452","Fashion Institute of Technology",1,"8079","11351","0.7611","0.5556","0.719","0.8","NULL","NULL","NULL","0.8529","0.717","15500","16055","16000","45900","53900","53200"
"2453","Finger Lakes Community College",1,"1912","5965","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7814","7992","7601","29100","30600","35200"
"2454","Five Towns College",3,"12388","4667","0.3969","0.2687","0.2632","0.3333","0","NULL","NULL","NULL","0.3077","19306","20000","19750","39200","36700","37400"
"2455","Fordham University",2,"26498","14019","0.8386","0.6543","0.7393","0.8137","0.75","NULL","0.7778","0.7609","0.7333","16927","22000","23250","54700","63100","69500"
"2456","The International Culinary Center",3,"64887","33646","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6333","6333","2333","43000","45500","52300"
"2457","Fulton-Montgomery Community College",1,"2088","5071","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9000","8250","7950","30600","35200","38300"
"2458","Gemological Institute of America-New York",2,"8936","5115","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8233","9266","6016.5","43600","41800","50300"
"2459","The General Theological Seminary",2,"9636","25879","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"2460","Genesee Community College",1,"1742","4332","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5774.5","6174","6000","28400","34000","39700"
"2461","Gloria Francis School of Make-Up Artistry",3,"8646","2160","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4134","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"2462","Hamilton College",2,"30824","30436","0.9256","0.8824","0.8077","0.8235","1","NULL","1","0.85","0.9565","12250","15000","15031.5","57300","72800","76100"
"2463","Hartwick College",2,"20529","11244","0.5925","0.5294","0.4545","0.7143","0.5","NULL","NULL","0.6154","0.5385","21500","20000","19500","41500","47600","48200"
"2464","Helene Fuld College of Nursing",2,"17723","9471","NULL","1","NULL","1","NULL","NULL","NULL","NULL","NULL","12750","13750","12521","PrivacySuppressed","79900","PrivacySuppressed"
"2465","Herkimer County Community College",1,"2815","4055","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7480","8157.5","9500","29400","34000","35200"
"2466","Hilbert College",2,"14015","5739","0.519","0.4054","0.2727","1","0","NULL","1","NULL","0.2727","20470","19750","19500","38100","43300","47400"
"2467","Hobart William Smith Colleges",2,"24777","13538","0.7672","0.7619","0.8519","0.9444","1","NULL","NULL","1","0.7755","23863","27000","27000","52400","53200","61400"
"2468","Hofstra University",2,"26052","16162","0.6403","0.4495","0.4966","0.4787","0.3333","0","0.56","0.6818","0.5773","18800","18500","16119.5","64500","54500","59800"
"2469","Houghton College",2,"14302","10197","0.7711","0.6667","0.5","0.5","1","NULL","0","0.8095","0.4","18000","20250","19500","40600","41600","47400"
"2470","Hudson Valley Community College",1,"3424","8323","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5125","5500","5500","36400","40800","44100"
"2471","Hunter Business School",3,"10928","7816","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7173","7322.5","5500","24300","PrivacySuppressed","PrivacySuppressed"
"2472","Institute of Design and Construction",2,"6079","4912","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2473","Institute of Audio Research",3,"12961","5479","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","7910.5","5500","31600","36300","36800"
"2474","Iona College",2,"20138","8094","0.6097","0.3953","0.5505","0.3333","0.5","NULL","0.5","0.75","0.5738","18500","21594.5","19500","49100","55600","59600"
"2475","Isabella Graham Hart School of Practical Nursing",2,"6031","17646","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7079","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2476","Island Drafting and Technical Institute",3,"13134","11041","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12780","PrivacySuppressed","PrivacySuppressed","41400","PrivacySuppressed","PrivacySuppressed"
"2477","Ithaca College",2,"21592","12627","0.823","0.7347","0.68","0.6731","0.3333","1","0.9333","0.8065","0.6579","21954","23300","21500","52200","53900","57300"
"2478","Jamestown Community College",1,"2764","5602","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5214","5500","6500","28700","33400","38900"
"2479","Jamestown Business College",3,"12528","2837","0.4667","0","0.75","NULL","1","NULL","1","NULL","NULL","6999","PrivacySuppressed","PrivacySuppressed","24900","PrivacySuppressed","PrivacySuppressed"
"2480","Jefferson Community College",1,"2434","5078","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4466","5483","5501","30400","35200","37600"
"2481","Jewish Theological Seminary of America",2,"4733","17346","0.7826","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2482","The Juilliard School",2,"16518","28982","0.8214","0.8","0.8","0.7647","NULL","NULL","1","0.95","1","27000","26910","25000","PrivacySuppressed","PrivacySuppressed","41800"
"2483","SBI Campus-An Affiliate of Sanford-Brown",3,"11782","4118","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8229","11188","15750","32200","39700","41700"
"2484","Kehilath Yakov Rabbinical Seminary",2,"2506","2840","0.7143","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2485","Keuka College",2,"14232","7665","0.4818","0.1667","0.5714","0.3333","1","NULL","NULL","NULL","0.619","21250","21898","22325","37700","45500","46100"
"2486","LIM College",3,"25215","4380","0.5051","0.5588","0.5106","0.5","0","NULL","NULL","0.3333","0","15750","21500","19000","47400","41200","55300"
"2487","Le Moyne College",2,"15242","10173","0.7303","0.5652","0.6667","0.7778","0.6667","NULL","0","1","0.7619","19000","24250","20500","49300","49500","52300"
"2488","LIU Brooklyn",2,"24979","11466","0.4866","0.2109","0.2321","0.3986","0.1429","NULL","0.5","0.3","0.3012","19500","19000","16875","51200","53000","53100"
"2489","LIU Post",2,"20971","10578","0.4296","0.3258","0.2778","0.5417","0.5","NULL","0","0.4127","0.4304","19500","19000","16875","51200","53000","53100"
"2490","Long Island Beauty School-Hempstead",3,"10490","2065","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7324","PrivacySuppressed","PrivacySuppressed","21800","PrivacySuppressed","PrivacySuppressed"
"2491","Long Island Business Institute",3,"15279","5899","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8000","14250","22489","22500","PrivacySuppressed","PrivacySuppressed"
"2492","LIU Hudson at Rockland",2,"22963","11382","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","19500","19000","16875","51200","53000","53100"
"2493","LIU Brentwood",2,"20814","9775","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","19500","19000","16875","51200","53000","53100"
"2494","Machzikei Hadath Rabbinical College",2,"6921","6736","0.2609","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2495","Mandl School-The College of Allied Health",3,"5988","1458","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10215","PrivacySuppressed","PrivacySuppressed","30000","PrivacySuppressed","PrivacySuppressed"
"2496","Manhattan College",2,"21001","10328","0.7824","0.6552","0.6814","0.6897","0","NULL","0.8","0.6","0.6","19500","23992","21500","68000","63600","66700"
"2497","Manhattan School of Music",2,"30208","18431","0.6364","0.5","0.8","0.6923","NULL","NULL","0","0.8571","1","21975","22750","19000","PrivacySuppressed","PrivacySuppressed","33700"
"2498","Manhattanville College",2,"15509","8104","0.5785","0.5952","0.6506","0.5714","0","1","1","0.7308","0.5593","19440","20250","19500","49700","56500","54200"
"2499","Maria College of Albany",2,"14222","6514","0.2619","0","0","0","1","NULL","NULL","NULL","0","14610","14837.5","12000","39500","45300","46500"
"2500","Marion S Whelan School of Nursing of Geneva General Hospital",2,"7274","1696","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10837","14158","12000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2501","Marist College",2,"21295","11426","0.8182","0.6486","0.8028","0.6667","0.6667","1","0.8889","0.25","0.5455","21500","25000","22500","41000","55000","64600"
"2502","MarJon School of Beauty ltd-Tonawanda",3,"10970","3890","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2503","Marymount Manhattan College",2,"21812","11003","0.4326","0.4878","0.4267","0.5556","0","NULL","NULL","0.3","1","16750","18500","17686","38500","40600","45200"
"2504","Medaille College",2,"14271","6770","0.4806","0.3061","0.3333","0","0","NULL","0","NULL","0.4821","10500","15000","17500","35200","43300","48800"
"2505","Memorial College of Nursing",2,"9855","13201","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13869","12063","10000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2506","Memorial Hospital School of Radiation Therapy Technology",2,"2906","581","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2507","Mercy College",2,"14998","4953","0.4663","0.1892","0.2652","0.2857","0","NULL","0.375","0.375","0.1176","16000","16510","13500","36700","45300","53100"
"2508","Mesivta Torah Vodaath Rabbinical Seminary",2,"5920","5762","0.32","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2509","Mesivta of Eastern Parkway-Yeshiva Zichron Meilech",2,"6714","8098","0.0667","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2510","Mesivtha Tifereth Jerusalem of America",2,"12049","25582","0.2","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2511","Southern Westchester BOCES-Practical Nursing Program",1,"8432","7122","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11691","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2512","Midway Paris Beauty School",3,"11741","2628","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6642","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2513","Mildred Elley School-Albany Campus",3,"6504","3492","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9490.5","10500","10500","22900","30500","28600"
"2514","Mirrer Yeshiva Cent Institute",2,"6027","6310","0.0714","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2515","Modern Welding School",3,"15644","4423","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","5500","5500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2516","Mohawk Valley Community College",1,"2737","4246","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5750","7691","7644","30800","35300","36900"
"2517","Molloy College",2,"21375","13066","0.7491","0.5581","0.58","0.7143","NULL","1","1","0","0.1429","25000","25429","22500","55800","60100","59300"
"2518","Monroe College",3,"11102","3561","0.4667","0.5083","0.5197","0.8571","0","NULL","NULL","0.7018","0.5714","12250","16000","14600","28500","38300","42900"
"2519","Monroe Community College",1,"2075","5259","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6587","6750","6398","30600","37600","39200"
"2520","Mount Saint Mary College",2,"16643","7611","0.5898","0.5455","0.6522","0.5455","NULL","1","0.875","NULL","0.1","21125","21396.5","19500","46700","52000","49500"
"2521","College of Mount Saint Vincent",2,"17809","8693","0.5762","0.4815","0.5313","0.7143","NULL","NULL","0.8824","0","0.2667","25000","25000","20750","55500","51800","56700"
"2522","Icahn School of Medicine at Mount Sinai",2,"27721","26430","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2523","Nassau Community College",1,"2589","7269","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5500","5500","5500","40100","43000","45900"
"2524","Nazareth College",2,"19706","11433","0.7769","0.4667","0.6842","0.5","1","NULL","NULL","0.5","0.7391","21251","22281","22750","42800","41900","46800"
"2525","Neighborhood Playhouse School of the Theater",2,"15345","5786","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2526","The College of New Rochelle",2,"13397","5731","0.3846","0.2681","0.3286","0.5714","0","NULL","0.5","NULL","0.2453","14110","16500","18232","32000","47500","57300"
"2527","The New School",2,"26315","13249","0.54","0.5","0.5904","0.7973","0.6667","NULL","0.5532","0.6694","0.4458","20417","20125","16000","45500","51300","50300"
"2528","New School of Radio and Television",3,"22871","6446","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6335","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2529","New York Chiropractic College",2,"23197","11716","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2530","Star Career Academy-New York",3,"15685","3608","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8863","9500","8208","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2531","New York Law School",2,"41862","28869","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2532","New York Medical College",2,"41508","30033","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2533","New York School for Medical and Dental Assistants",3,"19670","4855","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8747","PrivacySuppressed","PrivacySuppressed","29800","PrivacySuppressed","PrivacySuppressed"
"2534","New York Theological Seminary",2,"18048","6045","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"2535","New York University",2,"32018","30237","0.8355","0.7387","0.7809","0.8759","0.9167","NULL","1","0.7895","0.8173","19800","23000","19750","76500","76100","76800"
"2536","Niagara County Community College",1,"2607","6119","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5535","6500","6750","30700","35100","38700"
"2537","Niagara University",2,"12912","7464","0.6753","0.439","0.4783","1","0.2727","NULL","NULL","0.8571","0.4918","21206.5","22740.5","20500","40100","43400","46400"
"2538","Empire Beauty School-Peekskill",3,"9937","10562","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8348","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2539","North Country Community College",1,"2593","5980","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7275","8525","8750","28000","34700","35300"
"2540","New York College of Podiatric Medicine",2,"25164","10337","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2541","New York Institute of Technology",2,"29171","14043","0.4754","0.2237","0.4103","0.5933","0","1","NULL","0.4833","0.4102","18750","18500","15500","59200","57600","59300"
"2542","New York School of Interior Design",2,"29583","19412","1","NULL","0.5","NULL","NULL","NULL","NULL","0.6667","0","23000","29747.5","20000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2543","Nyack College",2,"12877","7724","0.5783","0.3333","0.3333","0.4231","1","NULL","0.4286","0.3333","0","12475","14250","12500","35600","43400","56200"
"2544","Ohr Hameir Theological Seminary",2,"12123","9587","0.0909","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2545","Onondaga Community College",1,"2459","6463","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5500","5500","5500","32600","36200","39700"
"2546","Orange County Community College",1,"4347","7677","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5500","5500","5500","34000","38700","41900"
"2547","Otsego Area BOCES-Practical Nursing Program",1,"849","6459","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2548","Pace University-New York",2,"20304","10470","0.5425","0.4632","0.5451","0.6571","0.3333","NULL","0.5789","0.434","0.5943","19500","19000","15250","62000","62100","65700"
"2549","Paul Smiths College of Arts and Science",2,"12339","7229","0.4824","0.1429","0.25","0","0.25","NULL","NULL","NULL","0","16000","20500","16375","33000","34400","36900"
"2550","Continental School of Beauty Culture-West Seneca",3,"10532","3804","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8025","6333","5388.5","18200","PrivacySuppressed","PrivacySuppressed"
"2551","Plaza College",3,"717","4103","0.2917","0.7903","0.7742","0.64","NULL","NULL","0.8","1","NULL","8788.5","PrivacySuppressed","PrivacySuppressed","25800","PrivacySuppressed","PrivacySuppressed"
"2552","Davis College",2,"9430","3164","0.3333","0.5","0","NULL","NULL","NULL","0","1","0","16500","11270.5","9125","PrivacySuppressed","29000","PrivacySuppressed"
"2553","Pratt Institute-Main",2,"29420","14711","0.6334","0.3333","0.6111","0.7238","1","NULL","NULL","0.6733","0.5","25000","25705","20000","43900","47400","45200"
"2554","Professional Business College",2,"7454","2997","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","22900","PrivacySuppressed","PrivacySuppressed"
"2555","Rabbinical Academy Mesivta Rabbi Chaim Berlin",2,"3716","5226","0.5","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2556","Rabbinical College Bobover Yeshiva Bnei Zion",2,"8162","2606","0.8333","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2557","Rabbinical College of Ch'san Sofer New York",2,"596","5270","0.8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
