"","INSTNM","CONTROL","TUITFTE","INEXPFTE","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","gap_earnings_high_low","gap_earnings_high_mid","gap_earnings_mid_low"
"1780","Central Michigan University",1,9613,8491,41400,42800,45600,0.0921052631578947,0.0614035087719298,0.0327102803738318
"1781","Mott Community College",1,2870,6014,25800,35900,37800,0.317460317460317,0.0502645502645503,0.28133704735376
"1782","Empire Beauty School-Michigan",3,8399,6433,19200,17800,19100,-0.00523560209424084,0.0680628272251309,-0.0786516853932584
"1785","College for Creative Studies",2,23602,11285,39400,39500,46700,0.156316916488223,0.154175588865096,0.00253164556962025
"1786","Davenport University",2,16437,5006,26600,37800,45700,0.417943107221007,0.172866520787746,0.296296296296296
"1788","Delta College",1,3297,6662,28500,35900,37800,0.246031746031746,0.0502645502645503,0.206128133704735
"1791","MIAT College of Technology",3,12619,5112,37700,48300,45600,0.173245614035088,-0.0592105263157895,0.219461697722567
"1792","University of Detroit Mercy",2,22915,13830,44200,48200,56000,0.210714285714286,0.139285714285714,0.0829875518672199
"1793","Dorsey Business Schools-Madison Heights",3,13207,4697,22000,28800,26800,0.17910447761194,-0.0746268656716418,0.236111111111111
"1794","Dorsey Business Schools-Southgate",3,14048,4996,22000,28800,26800,0.17910447761194,-0.0746268656716418,0.236111111111111
"1795","Eastern Michigan University",1,9345,8398,38200,40200,42100,0.0926365795724466,0.0451306413301663,0.0497512437810945
"1796","Ferris State University",1,9806,8867,43300,44100,47800,0.0941422594142259,0.0774058577405858,0.018140589569161
"1799","Kettering University",2,20979,11797,69900,73900,76200,0.0826771653543307,0.0301837270341207,0.054127198917456
"1800","Gogebic Community College",1,2703,5453,26800,33500,32500,0.175384615384615,-0.0307692307692308,0.2
"1802","Cornerstone University",2,11233,6235,31200,38800,42700,0.269320843091335,0.0913348946135831,0.195876288659794
"1803","Everest Institute-Grand Rapids",3,9869,6689,21900,27800,25700,0.147859922178988,-0.0817120622568093,0.212230215827338
"1804","Grand Rapids Community College",1,3716,6026,28400,35000,37900,0.25065963060686,0.0765171503957784,0.188571428571429
"1805","Grand Valley State University",1,10238,8086,40200,41900,44800,0.102678571428571,0.0647321428571429,0.0405727923627685
"1807","Henry Ford College",1,1671,5759,31400,38600,39600,0.207070707070707,0.0252525252525253,0.186528497409326
"1808","Hope College",2,18046,10084,39600,42400,49700,0.203219315895372,0.146881287726358,0.0660377358490566
"1809","ITT Technical Institute-Wyoming",3,17601,2575,38200,46300,47200,0.190677966101695,0.0190677966101695,0.174946004319654
"1810","Jackson College",1,2821,6229,26800,34400,40400,0.336633663366337,0.148514851485149,0.22093023255814
"1813","Kalamazoo Valley Community College",1,2575,5162,30300,34400,47700,0.364779874213836,0.278825995807128,0.119186046511628
"1814","Kellogg Community College",1,3248,6201,28300,36500,39200,0.278061224489796,0.0688775510204082,0.224657534246575
"1815","Kirtland Community College",1,3422,6648,24800,33100,33900,0.268436578171091,0.023598820058997,0.250755287009063
"1818","Lake Superior State University",1,7082,7893,33400,39100,42700,0.217798594847775,0.0843091334894614,0.145780051150895
"1819","Lansing Community College",1,2429,5884,30900,36800,41100,0.248175182481752,0.104622871046229,0.160326086956522
"1820","Lawrence Technological University",2,19554,9838,49100,57700,61200,0.197712418300654,0.0571895424836601,0.149046793760832
"1822","Macomb Community College",1,2939,4556,32300,36200,39400,0.180203045685279,0.0812182741116751,0.107734806629834
"1823","Madonna University",2,11977,7733,37300,42100,45300,0.176600441501104,0.0706401766004415,0.114014251781473
"1825","Rochester College",2,11453,5084,32200,38500,43500,0.259770114942529,0.114942528735632,0.163636363636364
"1826","University of Michigan-Ann Arbor",1,21520,22728,71600,68200,72000,0.00555555555555556,0.0527777777777778,-0.0498533724340176
"1828","Michigan State University",1,16352,14779,62800,54900,58700,-0.0698466780238501,0.0647359454855196,-0.143897996357013
"1829","Michigan Technological University",1,12860,10843,56800,60600,66600,0.147147147147147,0.0900900900900901,0.0627062706270627
"1830","University of Michigan-Dearborn",1,11540,9576,48800,53800,52400,0.0687022900763359,-0.0267175572519084,0.0929368029739777
"1831","University of Michigan-Flint",1,10169,8190,39300,44200,46400,0.15301724137931,0.0474137931034483,0.110859728506787
"1832","Mid Michigan Community College",1,3652,3544,28300,32300,37700,0.249336870026525,0.143236074270557,0.123839009287926
"1833","Monroe County Community College",1,2997,6885,29600,34700,41200,0.281553398058252,0.157766990291262,0.146974063400576
"1834","Montcalm Community College",1,2448,6918,24700,34600,38500,0.358441558441558,0.101298701298701,0.286127167630058
"1836","Baker College of Muskegon",2,8655,4598,24700,34600,38600,0.360103626943005,0.103626943005181,0.286127167630058
"1837","Muskegon Community College",1,3440,6260,26700,32800,38500,0.306493506493506,0.148051948051948,0.185975609756098
"1838","Everest College-Skokie",3,10370,3990,22900,27000,30400,0.246710526315789,0.111842105263158,0.151851851851852
"1839","Everest Institute-Southfield",3,8521,4321,21600,27000,32000,0.325,0.15625,0.2
"1841","Northern Michigan University",1,7554,7460,33100,38800,41400,0.20048309178744,0.0628019323671498,0.146907216494845
"1843","Northwestern Michigan College",1,5862,7402,28300,34300,42700,0.337236533957845,0.19672131147541,0.174927113702624
"1844","Northwood University-Michigan",2,11879,5582,39300,49300,53800,0.269516728624535,0.0836431226765799,0.202839756592292
"1845","Oakland Community College",1,1879,4613,31100,37000,39300,0.208651399491094,0.0585241730279898,0.159459459459459
"1846","Oakland University",1,9761,7654,43600,49400,47400,0.080168776371308,-0.0421940928270042,0.117408906882591
"1847","Olivet College",2,12774,5426,31300,37700,41000,0.236585365853659,0.0804878048780488,0.169761273209549
"1852","Ross Medical Education Center-Flint",3,8757,1350,20400,22700,22900,0.109170305676856,0.00873362445414847,0.101321585903084
"1854","Saginaw Valley State University",1,7974,6283,37500,40300,43200,0.131944444444444,0.0671296296296296,0.0694789081885856
"1855","Schoolcraft College",1,2456,4117,30100,36600,46600,0.354077253218884,0.214592274678112,0.177595628415301
"1856","Siena Heights University",2,9436,5072,36200,42500,45500,0.204395604395604,0.0659340659340659,0.148235294117647
"1857","St Clair County Community College",1,3468,5611,29500,37800,35800,0.175977653631285,-0.0558659217877095,0.21957671957672
"1859","Specs Howard School of Media Arts",3,7862,1614,27100,29300,34400,0.212209302325581,0.148255813953488,0.0750853242320819
"1860","Spring Arbor University",2,10068,7358,35100,40700,46400,0.243534482758621,0.122844827586207,0.137592137592138
"1862","Finlandia University",2,14679,8519,26500,34700,38300,0.308093994778068,0.0939947780678851,0.236311239193084
"1865","Walsh College of Accountancy and Business Administration",2,14744,4365,62200,57500,56600,-0.0989399293286219,-0.0159010600706714,-0.0817391304347826
"1866","Washtenaw Community College",1,3031,6903,28100,34100,38600,0.272020725388601,0.116580310880829,0.175953079178886
"1867","Wayne County Community College District",1,1818,5622,25400,34100,44100,0.424036281179138,0.226757369614512,0.255131964809384
"1868","Wayne State University",1,9959,13364,47200,46400,49900,0.0541082164328657,0.0701402805611222,-0.0172413793103448
"1871","Western Michigan University",1,11364,10047,44500,46200,49000,0.0918367346938776,0.0571428571428571,0.0367965367965368
"1874","Academy College",3,11673,2785,39000,42000,46000,0.152173913043478,0.0869565217391304,0.0714285714285714
"1875","Alexandria Technical & Community College",1,3727,6464,32000,37800,42000,0.238095238095238,0.1,0.153439153439153
"1877","Anoka Technical College",1,3047,6794,33400,40700,45100,0.259423503325942,0.0975609756097561,0.179361179361179
"1878","Anoka-Ramsey Community College",1,2830,4335,34200,40900,42800,0.200934579439252,0.044392523364486,0.163814180929095
"1879","Augsburg College",2,16467,9081,44700,50100,52300,0.145315487571702,0.0420650095602294,0.107784431137725
"1880","Riverland Community College",1,3175,6668,28000,36300,41000,0.317073170731707,0.114634146341463,0.228650137741047
"1882","Bemidji State University",1,4969,5853,35000,42700,43700,0.19908466819222,0.022883295194508,0.180327868852459
"1884","Bethel University",2,15840,8633,43500,47800,52600,0.173003802281369,0.091254752851711,0.0899581589958159
"1885","Bethel Seminary-St Paul",2,11555,10181,43500,47800,52600,0.173003802281369,0.091254752851711,0.0899581589958159
"1886","Central Lakes College-Brainerd",1,2536,4797,29100,37400,41000,0.290243902439024,0.0878048780487805,0.22192513368984
"1888","Concordia College at Moorhead",2,16727,10948,47000,44000,50100,0.06187624750499,0.121756487025948,-0.0681818181818182
"1889","Concordia University-Saint Paul",2,10502,5540,45200,53800,61200,0.261437908496732,0.120915032679739,0.159851301115242
"1890","Dakota County Technical College",1,3694,6817,32100,39900,42200,0.239336492890995,0.0545023696682464,0.195488721804511
"1892","Lake Superior College",1,3346,6158,31900,38300,41100,0.223844282238443,0.0681265206812652,0.16710182767624
"1895","Minnesota State Community and Technical College",1,2886,5856,30400,39500,42000,0.276190476190476,0.0595238095238095,0.230379746835443
"1896","Globe University-Woodbury",3,18030,5104,27100,33800,35500,0.236619718309859,0.047887323943662,0.198224852071006
"1897","Minnesota West Community and Technical College",1,3397,6891,29700,37700,40700,0.27027027027027,0.0737100737100737,0.212201591511936
"1898","Gustavus Adolphus College",2,19361,15317,51000,55600,59200,0.138513513513514,0.0608108108108108,0.0827338129496403
"1899","Hamline University",2,15603,7489,56100,51100,50200,-0.117529880478088,-0.0179282868525896,-0.0978473581213307
"1901","Hennepin Technical College",1,3230,6510,30900,36300,40100,0.229426433915212,0.0947630922693267,0.148760330578512
"1903","Hibbing Community College",1,4078,9263,36800,39000,45200,0.185840707964602,0.13716814159292,0.0564102564102564
"1904","Aveda Institute-Minneapolis",3,10310,5892,29000,33700,31100,0.067524115755627,-0.0836012861736334,0.13946587537092
"1905","Inver Hills Community College",1,3249,4480,36700,42600,45300,0.189845474613687,0.0596026490066225,0.13849765258216
"1906","Itasca Community College",1,2596,5750,29700,35300,46400,0.359913793103448,0.239224137931034,0.158640226628895
"1907","The Art Institutes International-Minnesota",3,13978,5410,33200,40100,40900,0.188264058679707,0.019559902200489,0.172069825436409
"1910","South Central College",1,3497,6891,31700,37800,39100,0.18925831202046,0.0332480818414322,0.161375661375661
"1911","Minnesota State University-Mankato",1,5683,6040,43200,44700,47200,0.0847457627118644,0.0529661016949153,0.0335570469798658
"1912","Regency Beauty Institute-Blaine",3,10667,6989,22100,24600,27200,0.1875,0.0955882352941176,0.101626016260163
"1915","Argosy University-Twin Cities",3,14407,6764,40500,41300,42800,0.0537383177570093,0.0350467289719626,0.0193704600484262
"1917","Metropolitan State University",1,4823,4518,40800,50400,55300,0.262206148282098,0.0886075949367089,0.19047619047619
"1918","University of Minnesota-Twin Cities",1,11369,13558,56500,53300,55500,-0.018018018018018,0.0396396396396396,-0.0600375234521576
"1919","University of Minnesota-Crookston",1,6048,6197,38900,41600,50400,0.228174603174603,0.174603174603175,0.0649038461538462
"1920","Minneapolis Business College",3,17899,2312,34200,34600,37700,0.0928381962864721,0.0822281167108753,0.0115606936416185
"1921","Minneapolis College of Art and Design",2,20327,12923,33900,37200,43800,0.226027397260274,0.150684931506849,0.0887096774193548
"1922","Minneapolis Community and Technical College",1,2162,4863,31500,42800,46400,0.321120689655172,0.0775862068965517,0.264018691588785
"1923","Herzing University-Minneapolis",3,14445,7788,38500,47600,47700,0.192872117400419,0.00209643605870021,0.191176470588235
"1926","University of Minnesota-Duluth",1,8339,7011,66200,47300,50200,-0.318725099601594,0.0577689243027888,-0.399577167019027
"1927","University of Minnesota-Morris",1,5263,8474,36900,40800,45300,0.185430463576159,0.0993377483443709,0.0955882352941176
"1928","Minnesota School of Business-Richfield",3,20537,5815,29500,38000,40500,0.271604938271605,0.0617283950617284,0.223684210526316
"1929","Model College of Hair Design",3,10066,1733,18600,21800,23500,0.208510638297872,0.0723404255319149,0.146788990825688
"1930","Minnesota State University Moorhead",1,5398,7267,37700,40800,42900,0.121212121212121,0.048951048951049,0.0759803921568627
"1931","North Hennepin Community College",1,2774,4874,34100,41900,44500,0.233707865168539,0.0584269662921348,0.186157517899761
"1932","National American University-Roseville",3,15938,2656,30300,43300,56400,0.462765957446808,0.232269503546099,0.300230946882217
"1933","Sanford-Brown College-Mendota Heights",3,22676,9896,29900,36700,39400,0.241116751269036,0.0685279187817259,0.185286103542234
"1934","Normandale Community College",1,3262,5005,36400,42000,43500,0.163218390804598,0.0344827586206897,0.133333333333333
"1935","North Central University",2,13873,6438,30700,32800,36800,0.165760869565217,0.108695652173913,0.0640243902439024
"1936","Northland Community and Technical College",1,3389,7281,34600,38400,48600,0.288065843621399,0.209876543209877,0.0989583333333333
"1937","University of Northwestern-St Paul",2,14599,7434,35800,37700,42900,0.165501165501166,0.121212121212121,0.0503978779840849
"1940","Regency Beauty Institute-Burnsville",3,12247,8025,22100,24600,27200,0.1875,0.0955882352941176,0.101626016260163
"1943","Rochester Community and Technical College",1,3167,5679,34500,38400,39200,0.119897959183673,0.0204081632653061,0.1015625
"1944","College of Saint Benedict",2,19671,11311,47300,46800,51700,0.0851063829787234,0.0947775628626693,-0.0106837606837607
"1945","St Cloud Technical and Community College",1,3032,6121,34400,40400,43200,0.203703703703704,0.0648148148148148,0.148514851485149
"1946","Regency Beauty Institute-St Cloud",3,10081,6606,22100,24600,27200,0.1875,0.0955882352941176,0.101626016260163
"1947","Saint Cloud State University",1,5055,7329,42500,43800,46700,0.0899357601713062,0.0620985010706638,0.0296803652968037
"1949","Saint Mary's University of Minnesota",2,10752,5392,40600,47200,48800,0.168032786885246,0.0327868852459016,0.139830508474576
"1950","St Olaf College",2,22964,16837,50100,49900,51300,0.0233918128654971,0.0272904483430799,-0.00400801603206413
"1951","Crown College",2,11759,3426,33800,38200,32300,-0.0464396284829721,-0.18266253869969,0.115183246073298
"1952","The College of Saint Scholastica",2,13989,8096,42400,55600,55900,0.241502683363148,0.00536672629695885,0.237410071942446
"1953","University of St Thomas",2,19304,13637,54800,61600,64100,0.145085803432137,0.0390015600624025,0.11038961038961
"1954","Empire Beauty School-Bloomington",3,9010,8172,25400,30400,26500,0.0415094339622641,-0.147169811320755,0.164473684210526
"1955","St Catherine University",2,16543,10127,41800,49300,52900,0.209829867674858,0.0680529300567108,0.152129817444219
"1956","Rasmussen College-Minnesota",3,16705,3401,28900,34600,37200,0.223118279569892,0.0698924731182796,0.164739884393064
"1957","Saint Paul College",1,2065,4969,28800,40100,43400,0.336405529953917,0.076036866359447,0.281795511221945
"1958","Southwest Minnesota State University",1,3858,5745,36300,38300,41000,0.114634146341463,0.0658536585365854,0.0522193211488251
"1961","Vermilion Community College",1,2747,4553,32900,37000,39800,0.173366834170854,0.0703517587939698,0.110810810810811
"1962","Dunwoody College of Technology",2,17817,11493,41600,48400,53700,0.225325884543762,0.0986964618249535,0.140495867768595
"1963","Ridgewater College",1,3275,7134,33300,35500,37600,0.11436170212766,0.0558510638297872,0.0619718309859155
"1964","Minnesota State College-Southeast Technical",1,3177,7805,28600,35600,38000,0.247368421052632,0.0631578947368421,0.196629213483146
"1965","Winona State University",1,5690,6581,44000,45100,46400,0.0517241379310345,0.0280172413793103,0.024390243902439
"1967","Century College",1,2739,4986,34900,38700,40900,0.146699266503667,0.0537897310513447,0.0981912144702842
"1968","Alcorn State University",1,4263,6877,32400,34900,40300,0.196029776674938,0.133995037220844,0.0716332378223496
"1969","Belhaven University",2,8508,3859,33000,44800,46300,0.287257019438445,0.0323974082073434,0.263392857142857
"1973","Antonelli College-Jackson",3,15004,4172,22300,27300,28500,0.217543859649123,0.0421052631578947,0.183150183150183
"1974","Copiah-Lincoln Community College",1,898,5430,28300,36600,45800,0.382096069868996,0.200873362445415,0.226775956284153
"1977","Delta State University",1,4487,7064,35000,40100,43500,0.195402298850575,0.0781609195402299,0.127182044887781
"1978","East Central Community College",1,631,4438,29000,34500,43000,0.325581395348837,0.197674418604651,0.159420289855072
"1979","East Mississippi Community College",1,1834,4013,27500,33300,41600,0.338942307692308,0.199519230769231,0.174174174174174
"1982","Hinds Community College",1,516,6704,27100,32800,34000,0.202941176470588,0.0352941176470588,0.173780487804878
"1983","Holmes Community College",1,922,4508,28000,35100,40600,0.310344827586207,0.135467980295567,0.202279202279202
"1984","Itawamba Community College",1,2609,6130,27600,32200,37600,0.265957446808511,0.143617021276596,0.142857142857143
"1985","Jackson State University",1,5499,7627,30600,33800,40000,0.235,0.155,0.0946745562130177
"1986","Jones County Junior College",1,774,4555,29000,33900,41900,0.307875894988067,0.190930787589499,0.144542772861357
"1987","Meridian Community College",1,1249,6428,27900,32700,38800,0.280927835051546,0.157216494845361,0.146788990825688
"1988","Millsaps College",2,12365,14341,47700,48400,55500,0.140540540540541,0.127927927927928,0.0144628099173554
"1990","University of Mississippi",1,9498,14232,55900,50500,53900,-0.0371057513914657,0.0630797773654917,-0.106930693069307
"1991","Mississippi University for Women",1,4627,6554,35800,40600,43000,0.167441860465116,0.0558139534883721,0.118226600985222
"1992","Mississippi Valley State University",1,2497,8966,24000,28700,33300,0.279279279279279,0.138138138138138,0.163763066202091
"1993","Mississippi College",2,11473,7825,37600,42900,46000,0.182608695652174,0.0673913043478261,0.123543123543124
"1995","Mississippi Gulf Coast Community College",1,2619,5209,29600,35100,38000,0.221052631578947,0.0763157894736842,0.156695156695157
"1996","Mississippi State University",1,7092,7318,42700,47000,52100,0.18042226487524,0.0978886756238004,0.0914893617021277
"1997","Northeast Mississippi Community College",1,918,5677,29200,34000,35200,0.170454545454545,0.0340909090909091,0.141176470588235
"1998","Northwest Mississippi Community College",1,1139,5462,27200,32100,37000,0.264864864864865,0.132432432432432,0.152647975077882
"1999","Pearl River Community College",1,825,6372,30000,37200,37900,0.20844327176781,0.0184696569920844,0.193548387096774
"2003","University of Southern Mississippi",1,6285,8219,38100,40900,44900,0.151447661469933,0.089086859688196,0.0684596577017115
"2005","Tougaloo College",2,7711,5457,27200,33900,34400,0.209302325581395,0.0145348837209302,0.1976401179941
"2007","William Carey University",2,12022,6703,38700,41300,45700,0.153172866520788,0.0962800875273523,0.062953995157385
"2010","Avila University",2,12703,6966,39500,43400,44700,0.116331096196868,0.029082774049217,0.0898617511520737
"2011","ITT Technical Institute-Earth City",3,19678,2710,38200,46300,47200,0.190677966101695,0.0190677966101695,0.174946004319654
"2012","Baptist Bible College",2,6589,4460,37300,32400,30500,-0.222950819672131,-0.0622950819672131,-0.151234567901235
"2014","Cox College",2,12661,7938,37400,40700,44900,0.167037861915367,0.0935412026726058,0.0810810810810811
"2018","Central Methodist University-College of Liberal Arts and Sciences",2,17159,10194,33600,35000,39800,0.155778894472362,0.120603015075377,0.04
"2019","University of Central Missouri",1,6960,7862,38100,41000,43200,0.118055555555556,0.0509259259259259,0.0707317073170732
"2024","Columbia College",2,7006,4239,34500,45900,49200,0.298780487804878,0.0670731707317073,0.248366013071895
"2029","Crowder College",1,1420,6178,26300,31000,33200,0.207831325301205,0.0662650602409639,0.151612903225806
"2030","Culver-Stockton College",2,9545,6034,33500,41200,45900,0.270152505446623,0.10239651416122,0.186893203883495
"2031","Drury University",2,10051,6561,30600,36400,44000,0.304545454545455,0.172727272727273,0.159340659340659
"2032","East Central College",1,1733,4363,27000,31200,37100,0.272237196765499,0.159029649595687,0.134615384615385
"2036","Evangel University",2,11355,6895,35700,39300,40100,0.109725685785536,0.0199501246882793,0.0916030534351145
"2037","Fontbonne University",2,15390,8353,35300,44800,50000,0.294,0.104,0.212053571428571
"2040","Ozarks Technical Community College",1,1531,4820,28000,34400,37200,0.247311827956989,0.0752688172043011,0.186046511627907
"2041","Hannibal-LaGrange University",2,9457,4807,33000,34900,38400,0.140625,0.0911458333333333,0.0544412607449857
"2043","Hickey College",3,11498,6139,26200,30800,33300,0.213213213213213,0.0750750750750751,0.149350649350649
"2046","Jefferson College",1,2214,4519,28600,34600,36100,0.207756232686981,0.0415512465373961,0.173410404624277
"2048","Barnes-Jewish College Goldfarb School of Nursing",2,17767,8097,51600,57500,59700,0.135678391959799,0.0368509212730318,0.102608695652174
"2049","Kansas City Art Institute",2,18976,10567,27800,28700,36100,0.229916897506925,0.204986149584488,0.0313588850174216
"2054","Lincoln University",1,2941,6329,30200,32900,35600,0.151685393258427,0.0758426966292135,0.0820668693009119
"2055","Lindenwood University",2,12137,4135,38700,45500,46300,0.16414686825054,0.0172786177105832,0.149450549450549
"2056","State Technical College of Missouri",1,5461,7387,39100,41500,44000,0.111363636363636,0.0568181818181818,0.0578313253012048
"2058","Metropolitan Community College-Kansas City",1,1624,4065,28800,35100,43300,0.334872979214781,0.189376443418014,0.179487179487179
"2060","Maryville University of Saint Louis",2,12443,6558,41300,48900,55100,0.250453720508167,0.112522686025408,0.155419222903885
"2065","Mineral Area College",1,999,4147,25800,31500,33400,0.227544910179641,0.0568862275449102,0.180952380952381
"2066","Westwood College-O'Hare Airport",3,16589,3820,31500,36900,45800,0.312227074235808,0.194323144104804,0.146341463414634
"2067","Missouri Baptist University",2,9724,4304,30800,37000,39700,0.224181360201511,0.0680100755667506,0.167567567567568
"2069","Missouri College",3,12538,5263,21200,29200,30900,0.313915857605178,0.0550161812297735,0.273972602739726
"2071","Missouri Southern State University",1,3288,6657,32500,37600,42000,0.226190476190476,0.104761904761905,0.13563829787234
"2073","Missouri Valley College",2,6386,3708,30600,35700,44400,0.310810810810811,0.195945945945946,0.142857142857143
"2074","Missouri Western State University",1,5591,7666,31600,37000,39800,0.206030150753769,0.0703517587939698,0.145945945945946
"2075","University of Missouri-Columbia",1,10477,11448,58700,51700,54800,-0.0711678832116788,0.0565693430656934,-0.135396518375242
"2076","University of Missouri-Kansas City",1,11058,15441,49400,55400,58900,0.161290322580645,0.0594227504244482,0.108303249097473
"2077","Missouri University of Science and Technology",1,11141,13337,60200,66200,65700,0.0837138508371385,-0.0076103500761035,0.0906344410876133
"2078","University of Missouri-St Louis",1,8628,9752,40900,45300,48900,0.16359918200409,0.0736196319018405,0.0971302428256071
"2079","Moberly Area Community College",1,2940,3335,28000,34200,33700,0.169139465875371,-0.0148367952522255,0.181286549707602
"2081","National Academy of Beauty Arts-St Louis",3,2775,3431,19100,19700,23600,0.190677966101695,0.165254237288136,0.0304568527918782
"2084","Truman State University",1,5083,9417,47200,44200,49100,0.0386965376782077,0.09979633401222,-0.0678733031674208
"2085","Northwest Missouri State University",1,6306,7972,38800,40500,44300,0.124153498871332,0.0857787810383747,0.0419753086419753
"2086","Ozark Christian College",2,8232,5411,30400,28400,33000,0.0787878787878788,0.139393939393939,-0.0704225352112676
"2088","Park University",2,8278,3975,44700,48700,57700,0.225303292894281,0.155979202772964,0.082135523613963
"2091","Ranken Technical College",2,10542,3330,42900,46900,54200,0.208487084870849,0.134686346863469,0.0852878464818763
"2093","Rockhurst University",2,14625,7034,47100,46100,54200,0.1309963099631,0.149446494464945,-0.0216919739696312
"2095","Everest College-Springfield",3,10842,6112,25000,30000,41500,0.397590361445783,0.27710843373494,0.166666666666667
"2096","Saint Louis University",2,19691,18230,59800,57500,61800,0.0323624595469256,0.06957928802589,-0.04
"2098","Sanford-Brown College-Fenton",3,18504,18233,25700,35700,38700,0.335917312661499,0.0775193798449612,0.280112044817927
"2103","Saint Louis Community College",1,1681,5513,28400,35900,42700,0.334894613583138,0.159250585480094,0.20891364902507
"2105","Southwest Baptist University",2,8983,5389,31700,37900,38900,0.185089974293059,0.025706940874036,0.163588390501319
"2109","State Fair Community College",1,1794,3629,29400,34200,37600,0.218085106382979,0.0904255319148936,0.140350877192982
"2111","Southeast Missouri State University",1,7457,6658,37500,38300,43000,0.127906976744186,0.109302325581395,0.02088772845953
"2112","Missouri State University-Springfield",1,6458,6932,36900,40300,44700,0.174496644295302,0.0984340044742729,0.0843672456575682
"2113","Three Rivers Community College",1,341,3333,27200,31800,38200,0.287958115183246,0.167539267015707,0.144654088050314
"2114","North Central Missouri College",1,1465,3770,27900,31900,33400,0.164670658682635,0.0449101796407186,0.125391849529781
"2117","Washington University in St Louis",2,24889,105933,92900,66700,82400,-0.127427184466019,0.190533980582524,-0.3928035982009
"2118","Webster University",2,15482,6722,40800,46500,46900,0.130063965884861,0.00852878464818763,0.12258064516129
"2121","William Jewell College",2,9798,9847,37700,47700,48500,0.222680412371134,0.0164948453608247,0.209643605870021
"2122","William Woods University",2,10315,6356,36300,37200,41800,0.131578947368421,0.110047846889952,0.0241935483870968
"2126","Highlands College of Montana Tech",1,3623,5199,42000,53800,64100,0.344773790951638,0.160686427457098,0.219330855018587
"2128","Carroll College",2,15060,7695,45800,45000,50200,0.0876494023904383,0.103585657370518,-0.0177777777777778
"2131","Montana State University-Billings",1,5594,6682,34100,40900,42700,0.201405152224824,0.0421545667447307,0.166259168704156
"2135","Great Falls College Montana State University",1,3847,6321,29300,33600,32400,0.095679012345679,-0.037037037037037,0.12797619047619
"2137","Helena College University of Montana",1,2522,5275,30000,38400,43200,0.305555555555556,0.111111111111111,0.21875
"2141","Montana Tech of the University of Montana",1,6764,9707,42000,53800,64100,0.344773790951638,0.160686427457098,0.219330855018587
"2142","Montana State University",1,9467,7321,41400,43700,48500,0.14639175257732,0.0989690721649484,0.0526315789473684
"2143","The University of Montana",1,7723,8367,37000,40300,44500,0.168539325842697,0.0943820224719101,0.0818858560794045
"2144","Montana State University-Northern",1,5355,7771,35000,40100,43400,0.193548387096774,0.076036866359447,0.127182044887781
"2145","Rocky Mountain College",2,11764,7204,45400,48900,52100,0.128598848368522,0.0614203454894434,0.0715746421267894
"2147","The University of Montana-Western",1,5415,7023,28300,36800,40200,0.296019900497512,0.0845771144278607,0.230978260869565
"2149","Bellevue University",2,10366,2197,46000,57600,70800,0.350282485875706,0.186440677966102,0.201388888888889
"2150","Clarkson College",2,12243,9543,46300,48100,47400,0.0232067510548523,-0.0147679324894515,0.0374220374220374
"2152","Central Community College",1,1790,7125,27600,33400,37600,0.265957446808511,0.111702127659574,0.173652694610778
"2153","Chadron State College",1,3561,5187,36100,41900,45100,0.199556541019956,0.0709534368070953,0.138424821002387
"2155","Concordia University-Nebraska",2,10123,5567,37500,40900,39300,0.0458015267175573,-0.0407124681933842,0.0831295843520782
"2156","Creighton University",2,22571,13517,72200,62600,64800,-0.114197530864198,0.0339506172839506,-0.153354632587859
"2157","Doane University-Arts & Sciences",2,12179,10364,41700,47800,48300,0.136645962732919,0.010351966873706,0.127615062761506
"2158","Grace University",2,7503,10440,31000,35500,33200,0.0662650602409639,-0.0692771084337349,0.126760563380282
"2159","Hastings College",2,9191,8140,40200,41900,46200,0.12987012987013,0.0930735930735931,0.0405727923627685
"2162","University of Nebraska at Kearney",1,4655,7658,40200,41000,44600,0.0986547085201794,0.0807174887892377,0.0195121951219512
"2163","Kaplan University-Lincoln Campus",3,7340,1904,28300,41600,57400,0.506968641114983,0.275261324041812,0.319711538461538
"2164","Nebraska Methodist College of Nursing & Allied Health",2,13433,9321,41700,51000,53600,0.222014925373134,0.0485074626865672,0.182352941176471
"2165","Metropolitan Community College Area",1,1701,5007,27800,35400,42900,0.351981351981352,0.174825174825175,0.214689265536723
"2166","Mid-Plains Community College",1,2281,6134,30200,34800,38000,0.205263157894737,0.0842105263157895,0.132183908045977
"2167","Midland University",2,12341,4805,37100,45000,43700,0.151029748283753,-0.0297482837528604,0.175555555555556
"2169","University of Nebraska at Omaha",1,6140,8428,42600,46900,47800,0.108786610878661,0.0188284518828452,0.0916844349680171
"2170","Kaplan University-Omaha Campus",3,7833,2101,28300,41600,57400,0.506968641114983,0.275261324041812,0.319711538461538
"2172","University of Nebraska Medical Center",1,13636,49995,125300,79800,64000,-0.9578125,-0.246875,-0.570175438596491
"2173","Nebraska Wesleyan University",2,12272,7123,45200,48300,53900,0.161410018552876,0.103896103896104,0.0641821946169772
"2174","University of Nebraska-Lincoln",1,8944,10896,47400,48000,51000,0.0705882352941176,0.0588235294117647,0.0125
"2175","Northeast Community College",1,2044,5756,33100,37700,40100,0.174563591022444,0.0598503740648379,0.122015915119363
