"","INSTNM","CONTROL","TUITFTE","INEXPFTE","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","gap_earnings_high_low","gap_earnings_high_mid","gap_earnings_mid_low"
"99","Grand Canyon University",3,10550,1837,42600,49800,57000,0.252631578947368,0.126315789473684,0.144578313253012
"101","GateWay Community College",1,2394,5491,30400,41400,49100,0.380855397148676,0.156822810590631,0.265700483091787
"102","Mesa Community College",1,1957,4701,37400,41800,46600,0.197424892703863,0.103004291845494,0.105263157894737
"103","ITT Technical Institute-Tucson",3,19470,1722,38200,46300,47200,0.190677966101695,0.0190677966101695,0.174946004319654
"104","ITT Technical Institute-Tempe",3,19621,1925,38200,46300,47200,0.190677966101695,0.0190677966101695,0.174946004319654
"106","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division",3,9773,3365,32900,39600,40200,0.181592039800995,0.0149253731343284,0.169191919191919
"108","Northern Arizona University",1,7331,7510,41300,43000,45800,0.0982532751091703,0.0611353711790393,0.0395348837209302
"110","Ottawa University-Phoenix",2,6371,1771,40300,43400,50000,0.194,0.132,0.0714285714285714
"111","Phoenix College",1,1488,5044,33000,38900,42700,0.227166276346604,0.0889929742388759,0.151670951156812
"112","Cortiva Institute-Scottsdale",3,7936,5427,25200,30200,31800,0.207547169811321,0.050314465408805,0.165562913907285
"113","Pima Community College",1,1742,3914,31500,36900,44300,0.288939051918736,0.167042889390519,0.146341463414634
"114","Pima Medical Institute-Tucson",3,6165,2713,27100,33800,37000,0.267567567567568,0.0864864864864865,0.198224852071006
"115","Pima Medical Institute-Albuquerque",3,5857,3033,27100,33800,37000,0.267567567567568,0.0864864864864865,0.198224852071006
"116","Prescott College",2,17501,7738,31900,36300,35800,0.108938547486034,-0.0139664804469274,0.121212121212121
"117","Refrigeration School Inc",3,10449,1491,35800,40200,50500,0.291089108910891,0.203960396039604,0.109452736318408
"121","Scottsdale Community College",1,2294,6584,37200,42600,48400,0.231404958677686,0.119834710743802,0.126760563380282
"125","Universal Technical Institute of Arizona Inc",3,12401,3241,42800,45700,48300,0.113871635610766,0.0538302277432712,0.0634573304157549
"126","Western International University",3,8252,3306,41900,55500,66900,0.373692077727952,0.170403587443946,0.245045045045045
"128","Yavapai College",1,2060,5818,30500,36300,45800,0.334061135371179,0.207423580786026,0.159779614325069
"129","University of Arkansas at Little Rock",1,6640,7485,34400,39400,43700,0.212814645308924,0.0983981693363844,0.126903553299492
"130","University of Arkansas for Medical Sciences",1,12646,62580,62000,68000,80900,0.233621755253399,0.159456118665019,0.0882352941176471
"135","Lyon College",2,9009,10540,36700,40400,46800,0.215811965811966,0.136752136752137,0.0915841584158416
"138","University of Arkansas",1,7143,9069,45800,50300,51100,0.103718199608611,0.0156555772994129,0.0894632206759443
"139","University of Arkansas at Pine Bluff",1,2164,7827,28100,32400,35300,0.203966005665722,0.0821529745042493,0.132716049382716
